painting_id,title,description,har_nbr,image_name,thumb_name,create_user_id,create_date,last_modified_user_id,last_modified_date,publish_type_id,is_locked,lock_user_id,lock_date,location,source,source_original,source_url,creator_name,creator_tol_id,type,century,tradition_id,tol_place_id
12,Two Lineal Lamas,"Two men, Kunkhyen and Jamyang Chokyi Gyalpo. This painting is from a set of compositions that appears based on similar paintings identified as a Sakya Lamdre lineage set. The secondary lineage that starts at the top left and proceeds down the right and left registers is possibly the Prajñāparamitā ineage beginning with Śākyamuni Buddha.",457,HAR457_nav.jpg,HAR457_nav_thumb.jpg,1,2011-07-24 20:08:00,342,2016-05-26 12:12:55,5,1,2,2016-03-21 12:53:48,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,61,7,
13,Sangye Sengge,"Sanggye Sengge, the eleventh throne holder of Ngor Ewam Monastery is the main figure in this work, created between 1550 and 1560. It is in the Menri style with Beri elements.",96,HAR96_nav.jpg,HAR96_nav_thumb.jpg,1,2011-07-24 20:08:44,342,2016-05-26 11:43:47,5,1,2,2016-03-21 12:54:26,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,63,7,
15,Jetsun Drakpa Gyaltsen,"Drakpa Gyaltsen and Sakya Pandita, uncle and nephew, teacher and student surrounded by the lineage kings of Shambhala. This composition belongs to a larger set of paintings depicting the Lamdre lineage of the Sakya tradition of Tibetan Buddhism in a two figure per composition configuration.",580,HAR580_nav.jpg,HAR580_nav_thumb.jpg,1,2011-07-24 20:10:05,342,2016-05-26 13:51:58,5,1,2,2016-03-21 12:46:13,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/947/drakpa-gyeltsen-11471216-and-sakya-pandita-11821251,,,painting,57,7,
16,Shangton Chobar,"Shangton Chobar with Sachen Kunga Nyingpo on the middle left, Sonam Tsemo on the right.",63,HAR63_nav.jpg,HAR63_nav_thumb.jpg,1,2011-07-24 20:10:52,342,2016-05-26 11:19:02,5,1,2,2016-03-21 12:56:12,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,61,7,
17,Sakya Pandita Kunga Gyaltsen,A Sakya lineage painting.,935,HAR935_nav.jpg,HAR935_nav_thumb.jpg,1,2011-07-24 20:11:54,342,2016-05-26 11:18:03,5,1,2,2016-03-21 12:56:42,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,69,7,
18,Tsongkhapa,"Tsongkhapa, founder of the Geluk tradition, with the two principal students, Gyaltsab on the left and Khedrubje on the right.",76,HAR76_nav.jpg,HAR76_nav_thumb.jpg,1,2011-07-24 20:12:28,342,2016-10-07 12:05:40,5,1,2,2016-03-21 13:35:07,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,61,27,
19,Six Kagyu Teachers With Lineage,"An important early Kagyu painting, possibly the earliest known depiction of the First Karmapa. The lineage depicted is likely the Shri Saraha Hevajra that passed into Tibet through Zhang Yudrakpa.",89141,89141.jpg,89141_thumb.jpg,2,2011-07-25 21:37:42,342,2016-05-26 14:02:00,5,1,2,2016-03-21 12:44:45,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/3679/two-indian-and-four-tibetan-masters,,,painting,53,8,
20,Karma Pakshi with lineage,"A thirteenth-century portrait of the Second Karmapa, Karma Pakshi.",68871,68871.jpg,68871_thumb.jpg,2,2011-07-27 17:25:52,342,2016-05-26 10:14:49,5,1,2,2016-03-21 13:32:20,,Private,Private,,,,painting,49,8,
21,Taklung Tangpa Tashi Pel with lineage,"A portrait of Taklung Tangpa Tashi Pel with the basic Kagyu lineage, dating to the thirteenth century.",89957,89957.jpg,89957_thumb.jpg,2,2011-07-27 19:37:54,342,2016-05-26 14:28:06,5,1,2,2016-03-21 12:38:11,,Private,Private,,,,painting,49,45,
22,Early Karmapa with footprints,"The footprints of an early Karmapa, probably the first, Dusum Khyenpa, together with a portrait and the eight auspicious symbols.",508,508.jpg,508_thumb.jpg,2,2011-07-28 15:45:39,342,2016-05-26 14:46:52,5,1,2,2016-03-21 12:45:03,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/560/karmapa-with-his-footprints,,,painting,48,8,
24,Cakrasamvara with the footprints of Drigungpa Rinchen Pel,"Cakrasaṃvara, Sahaja Heruka, with the footprints of Drigungpa Rinchen Pel.",65205,65205.jpg,65205_thumb.jpg,2,2011-07-28 15:55:55,342,2016-05-26 14:26:43,5,1,2,2016-03-21 12:39:34,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/1452/chakrasamvara-and-the-footprints-of-drigungpa-jikten-sumgon,,,painting,49,42,
25,Pakmodrupa Dorje Gyelpo,Pakmodrupa Dorje Gyelpo. One of the three principal students of Gampopa and teacher to many patriarchs of Kagyu sub-traditions.,65461,65461.jpg,65461_thumb.jpg,2,2011-07-29 16:49:41,342,2016-05-26 10:15:19,5,1,2,2016-03-21 13:32:10,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,49,45,
26,Padampa Sanggye,An early statue of the twelfth-century adept Padampa Sanggye,68480,68480.jpg,68480_thumb.jpg,2,2011-07-29 17:28:09,233,2016-06-22 15:56:42,5,1,2,2016-06-22 15:34:10,,Nyingjei Lam,Nyingjei Lam,,,,sculpture,49,37,
28,Sakya Lotsawa with his teachers,"Sakya Lotsawa Jampai Dorje, the Twenty-Third Sakya Tridzin.",89148,rsz_1rsz_189141_smaller.jpg,rsz_1rsz_189141_smaller_thumb.jpg,2,2011-08-03 16:08:58,342,2016-05-26 14:27:23,5,1,2,2016-03-21 12:38:36,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,61,7,
29,Karma Kagyu Refuge Field,"Karma Kagyu Field of Accumulation painting with the Fifteenth Karmapa, Kakyab Dorje, as the last lineage holder at the time of the compositions creation.",65861,65861 refuge tree smaller.jpg,65861 refuge tree smaller_thumb.jpg,2,2011-09-06 23:11:34,342,2016-05-26 13:59:07,5,1,2,2016-03-21 12:45:48,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/3791/the-field-of-accumulation-of-merit,,,painting,78,8,
30,Tsongkhapa,A very early -- possibly the earliest known -- portrait of Tsongkhapa narrating his life story.,410,410 Tsongkhapa.jpg,410 Tsongkhapa_thumb.jpg,2,2011-09-24 1:30:02,342,2016-05-26 14:03:00,5,1,2,2016-03-21 12:44:04,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,57,27,
31,Gampopa together with early Drukpa Kagyu masters,"A magnificent eighteenth-century painting depicting Gampopa with a number of early Drukpa Kagyu masters, including early abbots of Ralung Monastery and several of the ""Nine Incomparable Lions.""",276,HAR276.jpg,HAR276_thumb.jpg,2,2011-11-11 17:09:20,342,2016-05-26 14:09:31,5,1,2,2016-03-21 12:43:52,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,69,40,
32,The Seventh Dalai Lama with previous incarnations,"The Seventh Dalai Lama, Kelzang Gyatso, along with a selection of the previous incarnations according to the Book of Kadam.",380,380.Seventh DL.jpg,380.Seventh DL_thumb.jpg,2,2011-12-14 17:16:45,342,2016-05-26 14:10:15,5,1,2,2016-03-21 12:43:30,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/159/seventh-dalai-lama-17081757-and-his-preincarnations,,,painting,69,27,
33,Pakmodrupa,"Pakmodrupa Dorje Gyelpo, one of the three principal students of Gampopa.",65119,65119.Pakmodrupa.jpg,65119.Pakmodrupa_thumb.jpg,2,2012-04-04 18:50:03,233,2016-03-21 13:31:35,5,1,2,2016-03-21 13:31:35,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/1555/phakmodrupa-11101170-with-his-previous-incarnations-and-e,,,painting,53,45,218
34,Padmasambhava,"The style of this painting is known as tseltang, a red background with fine gold lines forming the shapes of the subject deities. Only the eyes are filled with white and black pigments.",285,285 Padmasambhava.jpg,285 Padmasambhava_thumb.jpg,2,2012-04-04 20:05:53,342,2016-05-26 14:30:05,5,1,2,2016-03-21 13:33:22,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/2839/padmasambhava,,,painting,73,1,
35,Padmasambhava,"An early image of Padmasambhava with Nyangrel Nyima Wozer and masters of various traditions, including Padampa Sanggye.",160,160.Padma and Nyangrel.jpg,160.Padma and Nyangrel_thumb.jpg,2,2013-05-02 18:13:49,342,2016-05-26 14:10:55,5,1,2,2016-03-21 12:42:51,Collection of Shelley and Donald Rubin,,Collection of Shelley and Donald Rubin,,,,painting,49,1,
36,Namkha Pelzang and a Naro Chodruk lineage,"This eighteenth-century painting of Namkha Pelzang, the twelfth abbot of Ralung Monastery, belongs to a set of Ralung patriarchs. Two other paintings belonging to the set can be seen on Himalayan Art Resources.",65193,65193.jpg,65193_thumb.jpg,2,2013-05-16 14:44:23,342,2016-05-26 14:11:47,5,1,2,2016-03-21 12:42:17,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,69,40,
37,Gampopa and Karmapa,"This sixteenth-century painting depicts two founding patriarchs of the Karma Kagyu school, Gampopa Sonam Rinchen and Dusum Khyenpa, later known as the First Karmapa.",536,gampopa-karmapa.jpg,gampopa-karmapa_thumb.jpg,294,2013-05-23 18:37:19,342,2020-09-16 17:30:12,5,1,2,2016-03-21 14:28:58,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,61,8,
39,Wangdu Nyingpo and other masters,"Wangdu Nyinpo was the Twenty-Ninth Sakya Tridzin. This painting gives visual representation to his previous incarnations, which include Padmasambhava, and some of his disciples.",412,412.jpg,412_thumb.jpg,2,2014-02-12 9:01:08,342,2016-05-26 14:12:44,5,1,2,2016-03-21 12:41:14,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,73,7,
40,Jikten Gonpo with the First Chungtsang and the Second Chetsang,"This sixteenth-century painting shows the Drigung founder, Jikten Gonpo, with two men who stood at the beginning of the two main incarnation lines at monastery, the Drigung Chetsang and the Drigung Chungtsang.",1034,1034.jpg,1034_thumb.jpg,2,2014-02-14 7:48:04,342,2016-05-26 10:52:58,5,1,2,2016-03-21 14:28:35,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,61,42,
42,Portrait of Drenpa Namkha,Nineteenth-century portrait of the Bon master Drenpa Namkha surrounded by deities and lineage masters.,65401,65401.jpg,65401_thumb.jpg,2,2016-05-20 11:05:41,342,2016-05-26 11:50:46,5,1,342,2016-05-26 11:50:46,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/1365/drenpa-namkha-ca-8th-century,,,painting,73,72,
43,Drukpa Kagyu Lineage of Bhutan,Nineteenth-century painting of the Drukpa Kagyu lineage of Bhutan.,65249,65249.jpg,65249_thumb.jpg,342,2016-05-20 12:46:17,342,2016-10-28 11:39:04,5,1,233,2016-05-25 13:23:42,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,73,40,
44,Drukpa Kagyu and Kagyu Lineages,Eighteenth-century thangka of Drukpa Kagyu and Kagyu lineage masters.,362,362.jpg,362_thumb.jpg,342,2016-05-20 16:38:30,343,2016-06-03 17:26:55,5,1,342,2024-04-05 17:25:06,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,69,40,
46,Episodes from the Life of Milarepa,"This nineteenth-century painting of Milarepa is possibly a copy of an original from Pelpung Monastery. A representative of the Situ style, it exemplifies the types of paintings commissioned by Situ Paṇchen and his circle.",921,milarepa.jpg,milarepa_thumb.jpg,342,2016-05-25 16:15:37,233,2016-06-08 22:49:14,5,1,233,2016-06-14 10:17:06,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,73,8,472
48,Third Pawo Tsuklak Gyatso,An exceptional painting of the Third Nenang Pawo surrounded by hierarchs of the Karma Kagyu and other traditions. The size of the hand and footprints suggest that they are stylized rather than actual prints.,825,tsuklak-gyatso.jpg,tsuklak-gyatso_thumb.jpg,233,2016-06-03 11:54:49,342,2017-05-08 12:52:18,5,1,342,2020-02-12 16:08:58,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/459/third-pawo-rinpoche-tsuklak-gyatso-15681630-with-his-han,,,painting,65,8,
49,Śākyaśrībhadra,An eighteenth-century painting of the Indian master Śākyaśrībhadra.,142,sakyasribhadra.jpg,sakyasribhadra_thumb.jpg,342,2016-06-03 13:08:54,342,2016-06-03 13:19:00,5,1,233,2016-06-03 14:30:30,Collection of Shelley and Donald Rubin,,Collection of Shelley and Donald Rubin,,,,painting,69,,
50,"Tibetan Trade Delegation to the US and UK, 1948","The Tibetan Trade Delegation to the US and the UK stand outside 10 Downing Street with Prime Minister Clement Atlee. The photo shows, from left to right, Khenchung Tubten Tsepel Taikhang (younger brother of Shakabpa), Finance Minister Wangchuk Deden Shakabpa, Yampel Pangdatsang, Prime Minister Clement Atlee, Surkhang Lhawang Topgyal and Kaludharma Ratna (interpreter). An Advanced Political History of Tibet misidentifies Surkhang Lhawang Topgyal as his father Dzasa Surkhang Surpa Wangchen Tseten, but in fact it was Surkhang Lhawang Topgyal who was part of the trade delegation as its interpreter.",,DelegationPicture.jpg,DelegationPicture_thumb.jpg,343,2016-06-10 13:50:41,343,2016-08-05 12:27:09,5,1,343,2016-08-05 12:27:09,,"Shakabpa, Wangchuk Deden. 2010. One Hundred Thousand Moons: An Advanced Political History of Tibet. Translated by Derek Maher. Netherlands: Brill.","Shakabpa, Wangchuk Deden. 2010. One Hundred Thousand Moons: An Advanced Political History of Tibet. Translated by Derek Maher. Netherlands: Brill.",https://brill.com/display/title/17829,,,photograph,79,,
51,Padmasambhava,This eighteenth-century painting features Padmasambhava surrounded by his consorts Yeshe Tsogyel and Mandarava. Below are Śāntarakṣita; and Trisong Detsen.,188,padmasambhava.jpg,padmasambhava_thumb.jpg,342,2016-06-10 14:31:39,342,2016-06-10 14:37:22,5,0,,,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,73,1,
52,The Demoness of Tibet,"The Demoness of Tibet is a close copy of a well-known image located in the Tibet Museum in Lhasa. The landscape of Tibet is shown as the mythical demoness of Tibetan legend. Important Buddhist temples and monasteries are located across her body, spanning from the Ngari region in the west to Kham in the east.",65719,demoness.jpg,demoness_thumb.jpg,342,2016-06-10 15:10:40,342,2019-01-23 15:35:15,5,1,233,2016-07-18 14:03:13,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/291/the-demoness-of-tibet,,,painting,77,,
53,Khenpo Jigme Puntsok with Khandro Tāre Lama and Namtrul Jigme Puntsok,"Prolific treasure revealers Namtrul Jigme Phuntsok and Khandro Tāre Lhamo are pictured beside Khenpo Jigme Puntsok, who gave them teachings and also authorized them as treasure revealers.",,Terton Couple with Khenpo Jigme Phuntsok.jpg,Terton Couple with Khenpo Jigme Phuntsok_thumb.jpg,342,2016-06-13 13:09:37,342,2016-06-13 13:11:20,5,0,,,,,,,,,photograph,80,1,
54,The First Dorje Drak Rigdzin,"A nineteenth-century painting featuring the First Dorje Drak Rigdzin, Rigdzin Godemchen Ngodrub Gyeltsen, a Nyingma treasure revealer who discovered the Jangter, or Northern Treasures.",1066,1066-godemchen.jpg,1066-godemchen_thumb.jpg,342,2016-06-13 16:00:42,342,2016-06-13 16:21:29,5,0,,,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,53,1,
55,Puchungwa Zhonnu Gyelsten,An eighteenth-century painting of Puchungwa Zhonnu Gyeltsen with Rinchen Zangpo.,376,376-puchungwa.jpg,376-puchungwa_thumb.jpg,342,2016-06-13 16:30:08,342,2016-06-13 16:41:41,5,0,,,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,69,4; 27,
56,Padmasambhava with Drigung Kagyu Refuge Field,This late eighteenth- or early twentieth-century Drigung Kagyu painting of Padmasambhava and the Drigung Kagyu refuge field is associated with a treasure tradition of Rinchen Puntsok. Drigung Monastery is pictured along the bottom of the painting along with Terdrom on the left edge. A nearby treasure site is shown adjacent to Terdrom.,413,413-padmasambhava.jpg,413-padmasambhava_thumb.jpg,342,2016-06-13 17:00:09,342,2016-07-14 11:57:23,5,0,,,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,76,42,82
57,Surkhang Wangchen Tseten and Lhagyari Tseten Chodzom,"Surkhang Wangchen Tseten and his first wife Lhagyari Tseten Chodzom, circa 1926.",,photo (9).JPG,photo (9)_thumb.JPG,343,2016-06-16 13:29:08,343,2016-06-22 15:36:32,5,1,343,2016-06-22 15:36:32,,"Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.","Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.",,,,photograph,77,,
58,Yuthok Dorje Yudon,"Yuthok Dorje Yudon, second from right, with her relatives, ca. 1937, was a member of two prominent Lhasa families, the Surkhangs and the Yuthoks.",,photo (11).JPG,photo (11)_thumb.JPG,343,2016-06-16 13:53:59,343,2016-06-16 14:04:47,5,1,343,2016-06-16 14:04:53,,"Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.","Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.",,,,photograph,78,,
59,Lhagyari Namgyel Gyatso,"Lhagyari Namgyel Gyatso, the Seventeenth Ruler of Eyul and the head of the aristocratic Lhagyari family, in his later years in exile in India.",,LhagyariNamgyelGyatso1.jpg,LhagyariNamgyelGyatso1_thumb.jpg,343,2016-06-16 14:23:23,343,2016-06-16 14:25:35,5,1,233,2016-06-22 17:46:14,,Lhagyari Family,Lhagyari Family,,,,photograph,77,,
60,Lhagyari Namgyel Gyatso and Lhagyari Puntsok Drolkar,"A wedding picture of Lhagyari Namgyel Gyatso, the Seventeenth Ruler of Eyul, with his second wife Puntsok Drolkar, in India. In 1985.",,LhagyariWedding.jpg,LhagyariWedding_thumb.jpg,343,2016-06-16 14:57:41,343,2016-06-22 15:36:16,5,1,233,2016-06-22 10:48:52,,The Lhagyari Chronicles,The Lhagyari Chronicles,,,,photograph,77,,
61,Yuthok Dorje Yudon,"A photograph of Yuthok Dorje Yudon, a member of the Surkhang family who married into the Yuthoks, in 1988, taken by Christine Cox.",,photo (7).JPG,photo (7)_thumb.JPG,343,2016-06-17 14:36:04,343,2016-06-22 14:58:29,5,1,343,2016-06-22 14:58:31,,"Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.","Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.",,,,photograph,80,,
62,Surkhang Wangchen Gelek,"Surkhang Wangchen Gelek, who became a Kalon of the Tibetan government at the age of thirty-three.",,Courtsey of Shambhala Publications.jpg,Courtsey of Shambhala Publications_thumb.jpg,343,2016-06-17 15:03:15,343,2016-06-17 15:14:20,5,1,343,2016-06-17 15:16:20,The Pitt Rivers Museum,"The Tibet Album. ""Wangchen Geleg Surkhang, Phuntsog Rabgye Ragashar"" 05 Dec. 2006. The Pitt Rivers Museum.","The Tibet Album. ""Wangchen Geleg Surkhang, Phuntsog Rabgye Ragashar"" 05 Dec. 2006. The Pitt Rivers Museum.",https://tibet.prm.ox.ac.uk/photo_2001.59.7.5.1.html,Hugh E. Richardson,,photograph,79,,
63,Surkhang Wangchen Gelek,Surkhang Wangchen Gelek is pictured with the Fourteenth Dalai Lama to the right.,,Courtesy of TransHimalayan Heritage1.jpg,Courtesy of TransHimalayan Heritage1_thumb.jpg,343,2016-06-17 15:38:07,343,2016-06-17 15:40:41,5,0,,,,TransHimalayan Heritage,TransHimalayan Heritage,,,,photograph,79,,
64,Yuthok Tashi Dhondup and Kunpel,"Yuthok Tashi Dhondup with Kunpel, a favorite of the Thirteenth Dalai Lama, with the Dalai Lama's Baby Austin with the license plate ""Tibet 2."" The photo was taken in 1933 in front of the British mission at Dekyilingka in Lhasa.",,BabyAustin.jpg,BabyAustin_thumb.jpg,343,2016-06-17 15:55:59,343,2016-06-22 15:45:24,5,1,343,2016-06-22 15:45:24,,Wikipedia,Wikipedia,Kunphela_and_Tashi_Dhondup_with_Baby_Austin_at_Dekyi-lingka_19.9.33.jpg,Margaret Williamson,,photograph,77,,
65,Yuthok Tashi Dhondup and Taring Jigme,"Yuthok Tashi Dhondup and Taring Jigme, generals in the Tibetan army, circa 1931. Yuthok was Depon or general of the Drongdrak garrison at the time.",,photo-20.JPG,photo-20_thumb.JPG,343,2016-06-17 17:03:04,343,2016-06-22 15:01:33,5,1,343,2016-06-22 15:01:33,,"Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.","Yuthok, Dorje Yudon. 1995. House of the Turquoise Roof. United Kingdom: Shambhala.",,,,photograph,78,,
66,A sculpture of Lowo Khenchen,A cast bronze sculpture of the sixteenth-century Ngor master Lowo Khenchen Sonam Lhundrub.,87137,Lowo Khenchen.jpg,Lowo Khenchen_thumb.jpg,2,2016-06-22 16:35:58,2,2016-06-22 16:41:13,5,1,233,2016-06-30 10:00:55,Philadelphia Museum of Art,Philadelphia Museum of Art,Philadelphia Museum of Art,https://philamuseum.org/collection/object/258403,,,sculpture,,7,
67,The Potala Palace and the Main Monuments of Lhasa,"This painting shows major sites of Lhasa including the Jokhang, Potala Palace and Lukhang. The monasteries of Sera, Drepung, and Sangpu Neutok are also pictured. It is possible that the image depicts activities during Losar festivities.",65848,C2009.4HAR65848.jpg,C2009.4HAR65848_thumb.jpg,342,2016-07-14 17:23:04,342,2017-03-22 13:09:34,5,0,,,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/1821/the-potala-palace-and-the-main-monuments-of-lhasa,,,painting,77,27,
68,Scenes from the Life of the Fifth Dalai Lama (1617-1682),An eighteenth-century painting of The Fifth Dalai Lama pictured with major scenes from his life.,65275,62 Rubin Dalai Lama C2003.9.2 image only.jpg,62 Rubin Dalai Lama C2003.9.2 image only_thumb.jpg,342,2016-08-29 17:02:24,342,2016-09-06 15:43:44,5,1,342,2024-04-16 20:50:32,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/291/the-demoness-of-tibet,,,painting,69,27,
69,Perspective Drawing of Lhasa,This drawing shows Lhasa before 1950 from an elevated perspective. The highly detailed representation shows many major monasteries and landmarks of Lhasa.,,Lhasa perspective.jpg,Lhasa perspective_thumb.jpg,342,2016-09-07 12:46:07,342,2016-09-07 12:55:31,5,1,342,2016-09-08 15:11:57,Collection of Knud Larsen,"Larsen, Knud and Sinding-Larsen, Amund. 2001. The Lhasa Atlas: Traditional Tibetan Architecture and Townscape. Kiribati: Serindia.","Larsen, Knud and Sinding-Larsen, Amund. 2001. The Lhasa Atlas: Traditional Tibetan Architecture and Townscape. Kiribati: Serindia.",,,,painting,78,,
