painting_map_id,coordinates,tol_place_id,default_name,wylie_name,person_id,biography_id,painting_id,create_date,last_modified_user_id,last_modified_date
58,"27,18,123,115",,Vajradhara,Vajradhara,,,3,2011-07-23 0:11:37,1,2011-07-23 0:11:37
59,"130,15,225,115",,Sachen Kunga Nyingpo,sa chen kun dga' snying po,2916,,3,2011-07-23 0:11:37,1,2011-07-23 0:11:37
60,"226,15,325,115",,Sonam Tsemo,bsod nams rtse mo,2919,,3,2011-07-23 0:11:37,1,2011-07-23 0:11:37
61,"326,15,420,115",,Drakpa Gyeltsen,grags pa rgyal mtshan,2915,,3,2011-07-23 0:11:37,1,2011-07-23 0:11:37
62,"421,15,515,115",,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Dita kun dga' rgyal mtshan,2137,,3,2011-07-23 0:11:38,1,2011-07-23 0:11:38
63,"516,15,610,115",,Pakpa Lodro Gyeltsen,phags pa blo gros rgyal mtshan,2051,,3,2011-07-23 0:11:38,1,2011-07-23 0:11:38
64,"27,130,132,283",,Shri Hevajra,Shri Hevajra,,,3,2011-07-23 0:11:38,1,2011-07-23 0:11:38
65,"508,127,613,250",,Ekajati,Ekajati,,,3,2011-07-23 0:11:38,1,2011-07-23 0:11:38
66,"23,533,132,650",,Kartridhara Mahakala,Kartridhara Mahakala,,,3,2011-07-23 0:11:38,1,2011-07-23 0:11:38
67,"517,531,606,647",,Shri Devi,Shri Devi,,,3,2011-07-23 0:11:38,1,2011-07-23 0:11:38
68,"92,346,179,467",,Kala Rakshasa,Kala Rakshasa,,,3,2011-07-23 0:11:39,1,2011-07-23 0:11:39
69,"456,375,544,480",,Kala Rakshasi,Kala Rakshasi,,,3,2011-07-23 0:11:39,1,2011-07-23 0:11:39
70,"22,664,94,770",,Putra,Putra,,,3,2011-07-23 0:11:39,1,2011-07-23 0:11:39
71,"105,669,186,768",,Batra,Batra,,,3,2011-07-23 0:11:39,1,2011-07-23 0:11:39
72,"195,670,276,767",,Singmo,Singmo,,,3,2011-07-23 0:11:39,1,2011-07-23 0:11:39
73,"283,667,360,767",,Bhikshu,Bhikshu,,,3,2011-07-23 0:11:39,1,2011-07-23 0:11:39
74,"363,667,445,767",,Black Woman,Black Woman,,,3,2011-07-23 0:11:40,1,2011-07-23 0:11:40
75,"452,665,532,765",,Sorceror,Sorceror,,,3,2011-07-23 0:11:40,1,2011-07-23 0:11:40
76,"538,663,615,765",,Warrior,Warrior,,,3,2011-07-23 0:11:40,1,2011-07-23 0:11:40
77,"489,89,566,185",,Sahaja Heruka Chakrasamvara,Sahaja Heruka Chakrasamvara,,,2,2011-07-24 19:58:47,1,2011-07-24 19:58:47
78,"467,263,553,375",,Ekajati,Ekajati,,,2,2011-07-24 19:58:47,1,2011-07-24 19:58:47
79,"451,411,563,575",,Shri Devi,Shri Devi,,,2,2011-07-24 19:58:47,1,2011-07-24 19:58:47
80,"94,408,207,577",,Kartaridhara Mahakala,Kartaridhara Mahakala,,,2,2011-07-24 19:58:47,1,2011-07-24 19:58:47
81,"93,239,198,378",,Bhutadamara Vajrapani,Bhutadamara Vajrapani,,,2,2011-07-24 19:58:48,1,2011-07-24 19:58:48
82,"93,88,174,179",,Sahaja Heruka Hevajra,Sahaja Heruka Hevajra,,,2,2011-07-24 19:58:48,1,2011-07-24 19:58:48
83,"12,8,67,81",,Vajradhara,Vajradhara,,,2,2011-07-24 19:58:48,1,2011-07-24 19:58:48
84,"68,8,118,81",,Brahmin Vararuchi,Brahmin Vararuchi,,,2,2011-07-24 19:58:48,1,2011-07-24 19:58:48
85,"119,8,169,81",,Pandita Deva Vajra,Pandita Deva Vajra,,,2,2011-07-24 19:58:48,1,2011-07-24 19:58:48
86,"170,8,225,81",,Shraddha Karavarma,Shraddha Karavarma,,,2,2011-07-24 19:58:48,1,2011-07-24 19:58:48
87,"225,8,277,81",,Rinchen Zangpo,rin chen bzang po,10199,,2,2011-07-24 19:58:49,2,2011-09-08 0:46:46
88,"278,8,330,81",,Draktengpa Yonten Tsultrim,brag steng pa yon tan tshul khrims,5753,,2,2011-07-24 19:58:49,1,2011-07-24 19:58:49
89,"331,8,390,81",,Mel Lotsāwa Lodro Drakpa,mal lo tsA ba blo gros grags pa,5401,,2,2011-07-24 19:58:49,1,2011-07-24 19:58:49
90,"391,8,445,81",,Sachen Kunga Nyingpo,sa chen kun dga' snying po,2916,,2,2011-07-24 19:58:49,1,2011-07-24 19:58:49
91,"446,8,496,81",,Sonam Tsemo,bsod nams rtse mo,2919,,2,2011-07-24 19:58:49,1,2011-07-24 19:58:49
92,"497,8,550,81",,Drakpa Gyeltsen,grags pa rgyal mtshan,2915,,2,2011-07-24 19:58:49,1,2011-07-24 19:58:49
93,"551,8,600,81",,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Dita kun dga' rgyal mtshan,2137,,2,2011-07-24 19:58:50,1,2011-07-24 19:58:50
94,"601,8,655,81",,Pakpa Lodro Gyeltsen,phags pa blo gros rgyal mtshan,2051,,2,2011-07-24 19:58:50,1,2011-07-24 19:58:50
95,"10,87,87,179",,Varuna on a makara,Varuna on a makara,,,2,2011-07-24 19:58:50,1,2011-07-24 19:58:50
96,"572,89,653,180",,Vayu on a deer,Vayu on a deer,,,2,2011-07-24 19:58:50,1,2011-07-24 19:58:50
97,"10,182,88,279",,Rakshasa on a zombie,Rakshasa on a zombie,,,2,2011-07-24 19:58:50,1,2011-07-24 19:58:50
98,"572,186,653,286",,Yaksha on a horse,Yaksha on a horse,,,2,2011-07-24 19:58:50,1,2011-07-24 19:58:50
99,"10,286,86,382",,Yama on a buffalo,Yama on a buffalo,,,2,2011-07-24 19:58:51,1,2011-07-24 19:58:51
100,"573,290,651,386",,Ishana on a bull,Ishana on a bull,,,2,2011-07-24 19:58:51,1,2011-07-24 19:58:51
101,"8,386,85,484",,Agni on a goat,Agni on a goat,,,2,2011-07-24 19:58:51,1,2011-07-24 19:58:51
102,"570,390,652,484",,Brahma on a goose (?),Brahma on a goose (?),,,2,2011-07-24 19:58:51,1,2011-07-24 19:58:51
103,"9,490,86,589",,Shakra on an elephant,Shakra on an elephant,,,2,2011-07-24 19:58:51,1,2011-07-24 19:58:51
104,"571,492,649,588",,Unidentified god,Unidentified god,,,2,2011-07-24 19:58:51,1,2011-07-24 19:58:51
105,"7,593,84,701",,Vaishravana,Vaishravana,,,2,2011-07-24 19:58:52,1,2011-07-24 19:58:52
106,"573,597,650,702",,Dhritarashtra,Dhritarashtra,,,2,2011-07-24 19:58:52,1,2011-07-24 19:58:52
107,"90,593,154,701",,Virudhaka,Virudhaka,,,2,2011-07-24 19:58:52,1,2011-07-24 19:58:52
108,"497,592,667,703",,Virupaksha,Virupaksha,,,2,2011-07-24 19:58:52,1,2011-07-24 19:58:52
109,"9,706,57,788",,Bhikshu,Bhikshu,,,2,2011-07-24 19:58:52,1,2011-07-24 19:58:52
110,"58,706,113,788",,Sorcerer,Sorcerer,,,2,2011-07-24 19:58:52,1,2011-07-24 19:58:52
111,"114,706,162,788",,Kala Rakshasa,Kala Rakshasa,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
112,"163,706,213,788",,Kala Rakshasi,Kala Rakshasi,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
113,"214,706,260,788",,Putra,Putra,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
114,"261,706,320,788",,Batra,Batra,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
115,"321,706,375,788",,Singmo,Singmo,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
116,"376,706,431,788",,Black Woman,Black Woman,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
117,"432,706,486,788",,Warrior,Warrior,,,2,2011-07-24 19:58:53,1,2011-07-24 19:58:53
118,"487,706,541,788",,Outer Retinue Figure,Outer Retinue Figure,,,2,2011-07-24 19:58:54,1,2011-07-24 19:58:54
119,"542,706,599,788",,Outer Retinue Figure,Outer Retinue Figure,,,2,2011-07-24 19:58:54,1,2011-07-24 19:58:54
120,"600,706,650,788",,Outer Retinue Figure,Outer Retinue Figure,,,2,2011-07-24 19:58:54,1,2011-07-24 19:58:54
121,"162,193,327,448",,Tsongkhapa Lobzang Drakpa,tsong kha pa blo bzang grags pa,8986,,18,2011-07-24 20:14:18,1,2011-07-24 20:14:18
122,"31,286,123,433",,Gyeltsabje Darma Rinchen,rgyal tshab rje dar ma rin chen,9095,,18,2011-07-24 20:14:19,1,2011-07-24 20:14:19
123,"357,286,465,433",,Khedrubje Gelek Pelzang,mkhas grub rje dge legs dpal bzang,8027,,18,2011-07-24 20:14:19,1,2011-07-24 20:14:19
124,"62,13,278,309",,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Dita kun dga' rgyal mtshan,2137,,17,2011-07-24 20:16:15,1,2011-07-24 20:16:15
125,"355,19,582,309",,Pakpa Lodro Gyeltsen,phags pa blo gros rgyal mtshan,2051,,17,2011-07-24 20:16:15,1,2011-07-24 20:16:15
126,"65,396,270,679",,Zhangton Konchok Pel,zhang ston dkon mchog dpal,2203,,17,2011-07-24 20:16:15,1,2011-07-24 20:16:15
127,"351,396,580,679",,Naza Drakpukpa Sonam Pel,na bza' brag phug pa bsod nams dpal,5406,,17,2011-07-24 20:16:15,1,2011-07-24 20:16:15
128,"179,41,333,295",,Zhangton Chobar,zhang ston chos 'bar,7024,,16,2011-07-24 20:18:07,1,2011-07-24 20:18:07
129,"47,357,216,576",,Sachen Kunga Nyingpo,sa chen kun dga' snying po,2916,,16,2011-07-24 20:18:07,1,2011-07-24 20:18:07
130,"302,353,463,581",,Sonam Tsemo,bsod nams rtse mo,2919,,16,2011-07-24 20:18:08,1,2011-07-24 20:18:08
131,"127,186,313,550",,Drakpa Gyeltsen,grags pa rgyal mtshan,2915,,15,2011-07-24 20:40:54,1,2011-07-24 20:40:54
132,"403,190,555,550",,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Dita kun dga' rgyal mtshan,2137,,15,2011-07-24 20:40:54,1,2011-07-24 20:40:54
133,"293,85,389,209",,Kalachakra,Kalachakra,,,15,2011-07-24 20:40:54,1,2011-07-24 20:40:54
134,"200,131,228,171",,Avalokiteshvara,Avalokiteshvara,,,15,2011-07-24 20:40:55,1,2011-07-24 20:40:55
135,"459,135,492,174",,Manjushri,Manjushri,,,15,2011-07-24 20:40:55,1,2011-07-24 20:40:55
136,"85,155,127,205",,Buddha,Buddha,,,15,2011-07-24 20:40:55,1,2011-07-24 20:40:55
137,"563,161,606,212",,Buddha,Buddha,,,15,2011-07-24 20:40:55,1,2011-07-24 20:40:55
138,"79,699,142,779",,(1) Very Joyful Tara,(1) Very Joyful Tara,,,15,2011-07-24 20:40:55,1,2011-07-24 20:40:55
139,"143,699,211,779",,(2) Radiant White Moon Tara,(2) Radiant White Moon Tara,,,15,2011-07-24 20:40:55,1,2011-07-24 20:40:55
140,"212,699,276,779",,(3) Gold Coloured Tara,(3) Gold Coloured Tara,,,15,2011-07-24 20:40:56,1,2011-07-24 20:40:56
141,"279,699,343,779",,(4) Ushnishavijaya Tara,(4) Ushnishavijaya Tara,,,15,2011-07-24 20:40:56,1,2011-07-24 20:40:56
142,"344,699,408,779",,(5) Tara Shouting Hum,(5) Tara Shouting Hum,,,15,2011-07-24 20:40:56,1,2011-07-24 20:40:56
143,"411,699,477,779",,(6) Victorious Tara,(6) Victorious Tara,,,15,2011-07-24 20:40:56,1,2011-07-24 20:40:56
144,"478,699,541,779",,(7) Tara Destroying Conflict,(7) Tara Destroying Conflict,,,15,2011-07-24 20:40:56,1,2011-07-24 20:40:56
145,"543,695,605,776",,(8) Supreme Power Bestowing Tara,(8) Supreme Power Bestowing Tara,,,15,2011-07-24 20:40:56,1,2011-07-24 20:40:56
146,"610,697,672,775",,Green Tara of the Sandalwood Forest,Green Tara of the Sandalwood Forest,,,15,2011-07-24 20:40:57,1,2011-07-24 20:40:57
147,"14,6,81,80",,Shakyamuni Buddha,Shakyamuni Buddha,,,15,2011-07-24 20:40:57,1,2011-07-24 20:40:57
148,"81,82,139,153",,Red Hand,Red Hand,,,15,2011-07-24 20:40:57,1,2011-07-24 20:40:57
149,"183,190,401,520",,Sachen Kunga Nyingpo,sa chen kun dga' snying po,2916,,14,2011-07-24 20:42:41,1,2011-07-24 20:42:41
150,"222,192,366,490",,"The Eleventh Ngor Khenchen, Sanggye Sengge",ngor mkhan chen 11 sangs rgyas seng+ge,4219,,13,2011-07-24 20:48:30,1,2011-07-24 20:48:30
151,"161,35,228,130",,Virupa,Virupa,,,13,2011-07-24 20:48:30,1,2011-07-24 20:48:30
152,"362,35,431,135",,Sachen Kunga Nyingpo,sa chen kun dga' snying po,2916,,13,2011-07-24 20:48:30,1,2011-07-24 20:48:30
153,"37,34,147,149",,Ngorchen Kunga Zangpo,ngor chen kun dga' bzang po,2387,,13,2011-07-24 20:48:30,1,2011-07-24 20:48:30
154,"444,37,552,146",,Muchen Sempa Chenpo Konchok Gyeltsen,mus chen sems dpa' chen po dkon mchog rgyal mtshan,1898,,13,2011-07-24 20:48:31,1,2011-07-24 20:48:31
155,"43,177,117,273",,Hevajra,Hevajra,,,13,2011-07-24 20:48:31,1,2011-07-24 20:48:31
156,"476,180,551,275",,Rakta Yamari,Rakta Yamari,,,13,2011-07-24 20:48:31,1,2011-07-24 20:48:31
157,"38,310,109,398",,Dronma Chog Dampa (?),Dronma Chog Dampa (?),,,13,2011-07-24 20:48:31,1,2011-07-24 20:48:31
158,"484,314,553,399",,"The Ninth Ngor Khenchen, Lhachok Sengge",ngor mkhan chen 09 lha mchog seng+ge,4217,,13,2011-07-24 20:48:31,1,2011-07-24 20:48:31
159,"37,408,113,515",,"The Tenth Ngor Khenchen, Konchok Lhundrub",ngor mkhan chen 10 dkon mchog lhun grub,10507,,13,2011-07-24 20:48:31,1,2011-07-24 20:48:31
160,"482,408,552,499",,"The Fifteenth Ngor Khenchen, Kunga Sonam Lhundrub",ngor mkhan chen 15 kun dga' bsod nams lhun grub,4220,,13,2011-07-24 20:48:32,1,2011-07-24 20:48:32
161,"36,545,112,636",,Ngawang Kunga Rinchen,sngags 'chang kun dga' rin chen,7053,,13,2011-07-24 20:48:32,1,2011-07-24 20:48:32
162,"478,549,550,630",,Sherab Gyaltsen,Sherab Gyaltsen,,,13,2011-07-24 20:48:32,1,2011-07-24 20:48:32
163,"345,647,426,756",,Panjarnata Mahakala,Panjarnata Mahakala,,,13,2011-07-24 20:48:32,1,2011-07-24 20:48:32
164,"453,645,551,755",,Vaishravana,Vaishravana,,,13,2011-07-24 20:48:32,1,2011-07-24 20:48:32
165,"49,662,171,758",,Donor Figure,Donor Figure,,,13,2011-07-24 20:48:32,1,2011-07-24 20:48:32
166,"13,21,86,117",,Shakyamuni Buddha,Shakyamuni Buddha,,,12,2011-07-24 21:02:56,1,2011-07-24 21:02:56
167,"87,21,155,117",,Shariputra,Shariputra,,,12,2011-07-24 21:02:56,1,2011-07-24 21:02:56
168,"156,21,220,117",,Rahula,Rahula,,,12,2011-07-24 21:02:56,1,2011-07-24 21:02:56
169,"221,20,290,116",,Brahmin Rahula (Saraha),Brahmin Rahula (Saraha),,,12,2011-07-24 21:02:57,1,2011-07-24 21:02:57
170,"291,20,360,116",,Nagarjuna,Nagarjuna,,,12,2011-07-24 21:02:57,1,2011-07-24 21:02:57
171,"361,19,425,115",,Ghunamati,Ghunamati,,,12,2011-07-24 21:02:57,1,2011-07-24 21:02:57
172,"426,19,495,115",,Ratnamitra,Ratnamitra,,,12,2011-07-24 21:02:57,1,2011-07-24 21:02:57
173,"426,116,495,205",,Manjushri or Maitreya [?],Manjushri or Maitreya [?],,,12,2011-07-24 21:02:57,1,2011-07-24 21:02:57
174,"496,18,565,114",,Dharmabhadra,Dharmabhadra,,,12,2011-07-24 21:02:57,1,2011-07-24 21:02:57
175,"496,115,565,206",,Vajrashri,Vajrashri,,,12,2011-07-24 21:02:58,1,2011-07-24 21:02:58
176,"566,18,635,114",,Gunapati,Gunapati,,,12,2011-07-24 21:02:58,1,2011-07-24 21:02:58
177,"566,115,635,206",,Bhava Gupta,Bhava Gupta,,,12,2011-07-24 21:02:58,1,2011-07-24 21:02:58
178,"13,118,86,214",,Dharmamala,Dharmamala,,,12,2011-07-24 21:02:58,1,2011-07-24 21:02:58
179,"87,118,155,214",,Shakyashri,Shakyashri,,,12,2011-07-24 21:02:58,1,2011-07-24 21:02:58
180,"156,118,220,214",,Arya Lokeshvara,Arya Lokeshvara,,,12,2011-07-24 21:02:58,1,2011-07-24 21:02:58
181,"14,215,86,308",,Prabhashvarashri,Prabhashvarashri,,,12,2011-07-24 21:02:59,1,2011-07-24 21:02:59
182,"291,113,367,228",,Samputa Vajrasattva,Samputa Vajrasattva,,,12,2011-07-24 21:02:59,1,2011-07-24 21:02:59
183,"296,229,367,299",,Virupa,Virupa,,,12,2011-07-24 21:02:59,1,2011-07-24 21:04:18
184,"127,245,283,467",,Kunkhyen,Kunkhyen,,,12,2011-07-24 21:02:59,1,2011-07-24 21:02:59
185,"377,245,545,467",,Jamyang Chokyi Gyalpo,Jamyang Chokyi Gyalpo,,,12,2011-07-24 21:02:59,1,2011-07-24 21:02:59
186,"566,205,638,304",,Khenchen Sonam Pel,mkhan chen bsod nams dpal,1029,,12,2011-07-24 21:02:59,1,2011-07-24 21:02:59
187,"18,309,89,400",,Sharchen Yeshe Gyeltsen,shar chen ye shes rgyal mtshan,5408,,12,2011-07-24 21:03:00,1,2011-07-24 21:03:00
188,"566,305,638,394",,Khenchen Tashi Tsultrim,mkhan chen bkra shis tshul,1035,,12,2011-07-24 21:03:00,1,2011-07-24 21:03:00
189,"18,401,89,490",,Ngorchen Kunga Zangpo,ngor chen kun dga' bzang po,2387,,12,2011-07-24 21:03:00,1,2011-07-24 21:03:00
190,"566,395,638,494",,"The Twelfth Ngor Khenchen, Konchok Pelden",ngor mkhan chen 12 dkon mchog dpal ldan,10528,,12,2011-07-24 21:03:00,1,2011-07-24 21:03:00
191,"18,491,89,585",,"The Eighth Ngor Khenchen, Muchen Sanggye Rinchen",ngor mkhan chen 08 mus chen sangs rgyas rin chen,1820,,12,2011-07-24 21:03:00,1,2011-07-24 21:03:00
192,"566,495,638,590",,"The Ninth Ngor Khenchen, Lhachok Sengge",ngor mkhan chen 09 lha mchog seng+ge,4217,,12,2011-07-24 21:03:00,1,2011-07-24 21:03:00
193,"20,586,91,685",,"The Tenth Ngor Khenchen, Konchok Lhundrub",ngor mkhan chen 10 dkon mchog lhun grub,10507,,12,2011-07-24 21:03:01,1,2011-07-24 21:03:01
194,"566,591,638,685",,"The Eleventh Ngor Khenchen, Sanggye Sengge",ngor mkhan chen 11 sangs rgyas seng+ge,4219,,12,2011-07-24 21:03:01,1,2011-07-24 21:03:01
195,"20,686,91,771",,Paṇchen Bumdrak Sumpa,paN chen'bum phrag gsum pa,7370,,12,2011-07-24 21:03:01,1,2011-07-24 21:03:01
196,"92,686,163,771",,Unidentified,Unidentified,,,12,2011-07-24 21:03:01,1,2011-07-24 21:03:01
197,"231,683,294,776",,Brahmarupa Mahakala,Brahmarupa Mahakala,,,12,2011-07-24 21:03:01,1,2011-07-24 21:03:01
198,"295,683,363,776",,Panjara Mahakala,Panjara Mahakala,,,12,2011-07-24 21:03:01,1,2011-07-24 21:03:01
199,"364,683,432,776",,"Worldly Protector, unidentified","Worldly Protector, unidentified",,,12,2011-07-24 21:03:02,1,2011-07-24 21:03:02
200,"433,683,505,776",,"Worldly Protector, unidentified","Worldly Protector, unidentified",,,12,2011-07-24 21:03:02,1,2011-07-24 21:03:02
201,"506,683,568,776",,"Worldly Protector, unidentified","Worldly Protector, unidentified",,,12,2011-07-24 21:03:02,1,2011-07-24 21:03:02
202,"569,686,641,776",,Kunga Drolchok,kun dga' grol mchog,4085,,12,2011-07-24 21:03:02,1,2011-07-24 21:03:02
203,"239,192,421,531",,"The Eleventh Ngor Khenchen, Sanggye Sengge",ngor mkhan chen 11 sangs rgyas seng+ge,4219,,11,2011-07-24 21:10:35,1,2011-07-24 21:10:35
204,"492,104,560,177",,Sumpa Lotsāwa Darma Yonten,sum pa lo tsA ba dar ma yon tan,1726,,11,2011-07-24 21:10:35,1,2011-07-24 21:10:35
205,"561,104,628,177",,Drakpa Gyeltsen,grags pa rgyal mtshan,2915,,11,2011-07-24 21:10:35,1,2011-07-24 21:10:35
206,"427,190,495,272",,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Dita kun dga' rgyal mtshan,2137,,11,2011-07-24 21:10:36,1,2011-07-24 21:10:36
207,"562,175,627,248",,Kyobpa Pel Zangpo,skyob pa dpal bzang po,6367,,11,2011-07-24 21:10:36,1,2011-07-24 21:10:36
208,"562,250,627,321",,Unidentified,Unidentified,,,11,2011-07-24 21:10:36,1,2011-07-24 21:10:36
209,"562,322,627,390",,Lotsāwa Chokden Lekpai Lodro,mchog ldan legs pa'i blo gros,2104,,11,2011-07-24 21:10:36,1,2011-07-24 21:10:36
210,"560,391,627,460",,Bakton Zhonnu Tsultrim,bag ston gzhon nu tshul khrims,5750,,11,2011-07-24 21:10:36,1,2011-07-24 21:10:36
211,"560,462,627,530",,Nartangpa Tsultrim Gyeltsen,snar thang pa tshul khrims rgyal mtshan,5555,,11,2011-07-24 21:10:36,1,2011-07-24 21:10:36
212,"560,532,627,602",,Lama Ngawang Drakpa,ngag dbang mtshan can,9788,,11,2011-07-24 21:10:37,1,2011-07-24 21:10:37
213,"560,604,627,672",,Lama Jangchub Sengge,bla ma byang chub seng+ge,9789,,11,2011-07-24 21:10:37,1,2011-07-24 21:10:37
214,"102,673,167,744",,Sabzang Pakpa Zhonnu Lodro,sa bzang 'phags pa gzhon nu blo gros,6257,,11,2011-07-24 21:10:37,1,2011-07-24 21:10:37
215,"168,673,234,744",,Ngorchen Kunga Zangpo,ngor chen kun dga' bzang po,2387,,11,2011-07-24 21:10:37,1,2011-07-24 21:10:37
216,"235,673,299,744",,Gorampa Sonam Sengge,go rams pa bsod nams seng ge,1985,,11,2011-07-24 21:10:37,1,2011-07-24 21:10:37
217,"301,673,363,744",,Konchok Tsultrim,dkon mchog tshul khrims,6251,,11,2011-07-24 21:10:37,1,2011-07-24 21:10:37
218,"364,673,431,744",,Gorumpa Kunga Lekpa,sgo rum pa kun dga' legs pa,5858,,11,2011-07-24 21:10:38,1,2011-07-24 21:10:38
219,"432,673,498,744",,Nesar Jamyang Khyentse Wangchuk,gnas gsar 'jam dbyangs mkhyen brtse'i dbang phyug,2338,,11,2011-07-24 21:10:38,1,2011-07-24 21:10:38
220,"499,673,563,744",,Janglingpa Tashi Gyeltsen,byang gling pa bkra shis rgyal mtshan,5437,,11,2011-07-24 21:10:38,1,2011-07-24 21:10:38
221,"109,169,283,469",,Damarupa,Damarupa,,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
222,"383,165,559,480",,Avadhutipa,Avadhutipa,,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
223,"296,85,381,184",,Vairochana Hevajra,Vairochana Hevajra,,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
224,"324,189,364,231",,"Vajrasattva, Solitary Form","Vajrasattva, Solitary Form",,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
225,"95,77,145,148",,Mahamaya,Mahamaya,,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
226,"526,82,570,135",,Unknown deity figure (?),Unknown deity figure (?),,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
227,"302,513,342,566",,Figure of Dedication (deceased),Figure of Dedication (deceased),,,10,2011-07-24 23:21:07,1,2011-07-24 23:21:07
228,"304,13,365,72",,Vajradhara,Vajradhara,,,10,2011-07-24 23:21:08,1,2011-07-24 23:21:08
