Incarnation Name,Incarnation BDRC ID,Incarnation Lineage TOL ID,Previous Incarnation Lineage TOL ID,Previous Incarnation Person TOL ID,Incarnation Sequence,Ordinal,Person TOL ID,Branched Lineage,Person BDRC ID,New Seat Established,Notes,Questions for Katie
Chesho,R8LS13109,10,,4568,3,3,4077,FALSE,P238,,,
Chesho,R8LS13109,10,,4077,4,4,9176,FALSE,P6577,,,
Chonyi Gyatso,,11,,,1,1,8631,FALSE,P6054,,,
Chonyi Gyatso,,11,,8631,2,2,8551,FALSE,P5982,,,
Chonyi Gyatso,,11,,8551,3,3,8630,FALSE,P6053,,,
Chonyi Gyatso,,11,,8630,4,4,8566,FALSE,P5996,,,
Chonyi Gyatso,,11,,8566,5,5,8629,FALSE,P6052,,,
Chonyi Gyatso,,11,,8629,6,6,8628,FALSE,P6051,,,
Dalai Lama,R8LS12876,12,,,1,1,10687,FALSE,P80,,,
Dalai Lama,R8LS12876,12,,10687,2,2,11114,FALSE,P84,,,
Dalai Lama,R8LS12876,12,,11114,3,3,12828,FALSE,P999,,,
Dalai Lama,R8LS12876,12,,12828,4,4,3085,FALSE,P177,,,
Dalai Lama,R8LS12876,12,,3085,5,5,6065,FALSE,P37,,,
Dalai Lama,R8LS12876,12,,6065,6,6,5871,FALSE,P352,,,
Dalai Lama,R8LS12876,12,,5871,7,7,3107,FALSE,P179,,,
Dalai Lama,R8LS12876,12,,3107,8,8,2339,FALSE,P109,,,
Dalai Lama,R8LS12876,12,,2339,9,9,4469,FALSE,P274,,,
Dalai Lama,R8LS12876,12,,4469,10,10,4314,FALSE,P260,,,
Dalai Lama,R8LS12876,12,,4314,11,11,4259,FALSE,P255,,,
Dalai Lama,R8LS12876,12,,4259,12,12,4141,FALSE,P244,,,
Dalai Lama,R8LS12876,12,,4141,13,13,3307,FALSE,P197,,,
Dalai Lama,R8LS12876,12,,3307,14,14,13576,FALSE,P1649,,,
Detri,R8LS13072,13,,,1,1,2436,FALSE,P1177,,,
Detri,R8LS13072,13,,2436,2,2,6502,FALSE,P4098,,,
Detri,R8LS13072,13,,6502,3,3,6198,FALSE,P382,,,
Detri,R8LS13072,13,,6198,4,4,6928,FALSE,P4487,,,
Detri,R8LS13072,13,,6928,5,5,6929,FALSE,P4488,,,
Detri,R8LS13072,13,,6929,6,6,7876,FALSE,P5361,,,
Detri,R8LS13072,13,,7876,7,7,7877,FALSE,P5362,,,
Detri,R8LS13072,13,,7877,8,8,7878,FALSE,P5363,,,
Dodrubchen,R8LS13169,14,,,1,1,4676,FALSE,P293,,,
Dodrubchen,R8LS13169,14,,4676,2,2,4272,FALSE,P2561,,,
Dodrubchen,R8LS13169,14,,4272,3,3,4185,FALSE,P248,,,
Dodrubchen,R8LS13169,14,,4185,4,4,4273,FALSE,P2562,,,
Dorje Drak Rigdzin,R8LS12889,15,,,1,1,7767,FALSE,P5254,,,
Dorje Drak Rigdzin,R8LS12889,15,,7767,2,2,3010,FALSE,P1701,,,
Dorje Drak Rigdzin,R8LS12889,15,,3010,3,3,8975,FALSE,P639,,,
Dorje Drak Rigdzin,R8LS12889,15,,8975,4,4,9169,FALSE,P657,,,
Dorje Drak Rigdzin,R8LS12889,15,,9169,5,5,9513,FALSE,P689,,,
Dorje Drak Rigdzin,R8LS12889,15,,9513,6,6,13191,FALSE,P8LS12705,,,
Dorje Drak Rigdzin,R8LS12889,15,,13191,7,7,13190,FALSE,P8LS12706,,,
Dorje Drak Rigdzin,R8LS12889,15,,13190,8,8,13189,FALSE,P8LS12707,,,
Dorje Drak Rigdzin,R8LS12889,15,,13189,9,9,9935,FALSE,P728,,,
Dorje Drak Rigdzin,R8LS12889,15,,9935,10,10,10188,FALSE,P752,,,
Dorje Pakmo,R8LS12868,16,,,1,1,13205,FALSE,P2CZ7891,,,
Dorje Pakmo,R8LS12868,16,,13205,2,2,13206,FALSE,P8LS12641,,,
Dorje Pakmo,R8LS12868,16,,13206,3,3,13215,FALSE,P2GS1053,,,
Dorje Pakmo,R8LS12868,16,,13215,4,4,13214,FALSE,P3JT12493,,,
Dorje Pakmo,R8LS12868,16,,13214,5,5,13213,FALSE,P8LS12642,,,
Dorje Pakmo,R8LS12868,16,,13213,6,6,13212,FALSE,P8LS12643,,,
Dorje Pakmo,R8LS12868,16,,13212,7,7,13211,FALSE,P8LS12644,,,
Dorje Pakmo,R8LS12868,16,,13211,8,8,13210,FALSE,P8LS12645,,,
Dorje Pakmo,R8LS12868,16,,13210,9,9,10253,FALSE,P7583,,,
Dorje Pakmo,R8LS12868,16,,10253,10,10,13209,FALSE,P8LS12646,,,
Dorje Pakmo,R8LS12868,16,,13209,11,11,13208,FALSE,P8LS12647,,,
Dorje Pakmo,R8LS12868,16,,13208,12,12,13207,FALSE,P8LS3573,,,
Drime Zhingkyong,R8LS13161,17,,,1,1,8540,FALSE,P5972,,,
Drime Zhingkyong,R8LS13161,17,,8540,2,2,8562,FALSE,P5992,,,
Drime Zhingkyong,R8LS13161,17,,8562,3,3,8563,FALSE,P5993,,,
Drime Zhingkyong,R8LS13161,17,,8563,4,4,8575,FALSE,P6003,,,
Drime Zhingkyong,R8LS13161,17,,8575,5,5,8577,FALSE,P6005,,,
Druk Lama Tripa ,R8LS13413,18,,,1,1,7622,FALSE,P512,,,
Druk Lama Tripa ,R8LS13413,18,,7622,2,2,7824,FALSE,P531,,,
Druk Lama Tripa ,R8LS13413,18,,7824,3,3,7884,FALSE,P537,,,
Druk Lama Tripa ,R8LS13413,18,,7884,4,4,8225,FALSE,P568,,,
Druk Lama Tripa ,R8LS13413,18,,8225,5,5,13584,FALSE,P8LS13411,,,
Druk Lama Tripa ,R8LS13413,18,,13584,6,6,13585,FALSE,P8LS13412,,,
Druk Gyelse,R8LS13410,19,,,1,,6919,FALSE,P4479,,,
Druk Gyelse,R8LS13410,19,,6919,2,1,7719,FALSE,P521,,,
Druk Gyelse,R8LS13410,19,,7719,3,2,12747,FALSE,P9910,,,
Druk Gyelse,R8LS13410,19,,12747,4,3,7855,FALSE,P534,,,
Druk Gyelse,R8LS13410,19,,7855,5,4,8039,FALSE,P551,,,
Druk Gyelse,R8LS13410,19,,8039,6,5,8325,FALSE,P577,,,
Drukchen,R8LS12812,20,,,1,1,11865,FALSE,P909,,,
Drukchen,R8LS12812,20,,11865,2,2,11986,FALSE,P920,,,
Drukchen,R8LS12812,20,,11986,3,3,11441,FALSE,P870,,,
Drukchen,R8LS12812,20,,11441,4,4,10952,FALSE,P825,,,
Drukchen,R8LS12812,20,,10952,5,5,11516,FALSE,P877,,,
Drukchen,R8LS12812,20,,11516,6,6,12202,FALSE,P940,,,
Drukchen,R8LS12812,20,,12202,7,7,11136,FALSE,P842,,,
Drukchen,R8LS12812,20,,11136,8,8,11178,FALSE,P846,,,
Drukchen,R8LS12812,20,,11178,9,9,2654,FALSE,P1374,,,
Drukchen,R8LS12812,20,,2654,10,10,11363,FALSE,P863,,,
Drukchen,R8LS12812,20,,11363,11,11,11210,FALSE,P849,,,
Drukchen,R8LS12812,20,,11210,12,12,11263,FALSE,P854,,,
Dzogchen Drubwang,R8LS13052,21,,,1,1,9126,TRUE,P653,,,
Dzogchen Drubwang,R8LS13052,21,,9126,2,2,9383,TRUE,P677,,,
Dzogchen Drubwang,R8LS13052,21,,9383,3,3,10068,TRUE,P7404,,,
Dzogchen Drubwang,R8LS13052,21,,10068,4,4,3020,TRUE,P1710,,,
Dzogchen Drubwang,R8LS13052,21,,3020,5,5,9646,TRUE,P701,,,
Dzogchen Drubwang,R8LS13052,21,,9646,6,6,10169,TRUE,P750,,,
Dzogchen Drubwang,R8LS13052,21,,10169,7,7,10157,TRUE,P749,TOL1615,Split after 6 and this one is based at Dzogchen India ,"This is a different case from those we've discussed - two number 7s but in the same lineage, not a split lineage"
Dzogchen Drubwang,R8LS13052,21,,10169,7,7,11425,TRUE,P8686,,,
Dzogchen Khyentse,R8LS13178,22,,,1,,4291,TRUE,P258,,,
Dzogchen Khyentse,R8LS13178,22,,4291,2,1,11432,TRUE,P8692,,,
Dzogchen Khyentse,R8LS13056,22,,11432,3,2,13150,TRUE,P3AG40,,,
Dzogchen Ponlop,R8LS13056,23,,,1,1,10832,FALSE,P8137,,,
Dzogchen Ponlop,R8LS13056,23,,10832,2,2,10827,FALSE,P8132,,,
Dzogchen Ponlop,R8LS13056,23,,10827,3,3,4986,FALSE,P2JM275,,,
Dzogchen Ponlop,R8LS13056,23,,4986,4,4,4987,FALSE,P2JM276,,,
Dzogchen Ponlop,R8LS13056,23,,4987,5,5,13151,FALSE,P3AG41,,,
Dzogchen Ponlop,R8LS13056,23,,13151,6,6,13152,FALSE,P3AG42,,,
Dzogchen Ponlop,R8LS13056,23,,13152,7,7,13880,FALSE,P8LS13212,,,
Dzogchen Kongtrul,R8LS13177,24,,,1,,4358,FALSE,P264,,,
Dzogchen Kongtrul,R8LS13177,24,,4358,2,1,13148,TRUE,P3JM110,,,
Dzogchen Kongtrul,R8LS13177,24,,13148,3,2,13149,TRUE,P3AG39,,,
Gangkar,R8LS13086,25,,,1,1,6059,FALSE,P3694,,,
Gangkar,R8LS13086,25,,6059,2,2,3146,FALSE,P1824,,,
Gangkar,R8LS13086,25,,3146,3,3,6069,FALSE,P3702,,,
Gangkar,R8LS13086,25,,6069,4,4,6070,FALSE,P3703,,,
Gangkar,R8LS13086,25,,6070,5,5,6063,TRUE,P3698,,,
Gangkar,R8LS13086,25,,6063,6,6,6064,FALSE,P3699,,,
Gangkar,R8LS13086,25,,6064,7,7,6067,FALSE,P3700,,,
Gangkar,R8LS13086,25,,6067,8,8,6068,FALSE,P3701,,,
Gangkar,R8LS13086,25,,6068,9,9,2730,FALSE,P1445,,,
Gangteng,,26,,,1,1,4379,FALSE,P2659,,,
Gangteng,,26,,4379,2,2,7644,FALSE,P514,,,
Gangteng,,26,,7644,3,3,13133,FALSE,P3AG16,,,
Gangteng,,26,,13133,4,4,13145,FALSE,P3AG29,,,
Gangteng,,26,,13145,5,5,13146,FALSE,P3AG30,,,
Gangteng,,26,,13146,6,6,13142,FALSE,P3AG26,,,
Gangteng,,26,,13142,7,7,13143,FALSE,P3AG27,,,
Gangteng,,26,,13143,8,8,4478,FALSE,P2748,,,
Gemang,R8LS13173,27,,,1,1,9601,FALSE,P697,,,
Gemang,R8LS13173,27,,9601,2,2,13163,FALSE,P3AG53,,,
Gemang,R8LS13173,27,,13163,3,3,13162,FALSE,P3AG54,,,
Gungtang,R8LS13063,28,,,1,1,3173,FALSE,P1849,,,
Gungtang,R8LS13063,28,,3173,2,2,7107,FALSE,P4649,,,
Gungtang,R8LS13063,28,,7107,3,3,4730,FALSE,P298,,,
Gungtang,R8LS13063,28,,4730,4,4,6110,FALSE,P374,,,
Gungtang,R8LS13063,28,,6110,5,5,7879,FALSE,P5364,,,
Gungtang,R8LS13063,28,,7879,6,6,8128,FALSE,P5591,,,
Gyara Tulku,R8LS12782,29,,,1,1,9750,FALSE,P7107,,,
Gyara Tulku,R8LS12782,29,,9750,2,2,13106,FALSE,P2AG14,,,
Gyara Tulku,R8LS12782,29,,13106,3,3,13107,FALSE,P2AG15,,,
Gyara Tulku,R8LS12782,29,,13107,4,4,13108,FALSE,P2AG16,,,
Gyara Tulku,R8LS12782,29,,13108,5,5,13109,FALSE,P2AG17,,,
Gyara Tulku,R8LS12782,29,,13109,6,6,13110,FALSE,P2AG18,,,
Gyara Tulku,R8LS12782,29,,13110,7,7,4285,FALSE,P2573,,,
Gyara Tulku,R8LS12782,29,,4285,8,8,29,FALSE,P00EGS1016721,,,
Tsurpu Gyeltsab,R8LS12893,30,,,1,1,2661,FALSE,P1380,,,
Tsurpu Gyeltsab,R8LS12893,30,,2661,2,2,2162,FALSE,P10582,,,
Tsurpu Gyeltsab,R8LS12893,30,,2162,3,3,2726,FALSE,P1441,,,
Tsurpu Gyeltsab,R8LS12893,30,,2726,4,4,8230,FALSE,P5684,,,
Tsurpu Gyeltsab,R8LS12893,30,,8230,5,5,7584,FALSE,P5085,,,
Tsurpu Gyeltsab,R8LS12893,30,,7584,6,6,12285,FALSE,P948,,,
Tsurpu Gyeltsab,R8LS12893,30,,12285,7,7,12381,FALSE,P957,,,
Tsurpu Gyeltsab,R8LS12893,30,,12381,8,8,11189,FALSE,P847,,,
Tsurpu Gyeltsab,R8LS12893,30,,11189,9,9,2163,FALSE,P10583,,,
Tsurpu Gyeltsab,R8LS12893,30,,2163,10,10,2164,FALSE,P10584,,,
Tsurpu Gyeltsab,R8LS12893,30,,2164,11,11,12093,FALSE,P930,,,
Tsurpu Gyeltsab,R8LS12893,30,,12093,12,12,2165,FALSE,P10585,,,
Hortsang Sertri,R8LS12896,31,,,1,1,4490,FALSE,P2759,,,
Hortsang Sertri,R8LS12896,31,,4490,2,2,7923,FALSE,P5405,,,
Hortsang Sertri,R8LS12896,31,,7923,3,3,6536,FALSE,P4129,,,
Hortsang Sertri,R8LS12896,31,,6536,4,4,6535,FALSE,P4128,,,
Hortsang Sertri,R8LS12896,31,,6535,5,5,2021,FALSE,P10452,,,
Hortsang Sertri,R8LS12896,31,,2021,6,6,7937,FALSE,P5418,,,
Hortsang Sertri,R8LS12896,31,,7937,7,7,9396,FALSE,P6781,,,
Jamyang Zhepa,R8LS12897,32,,,1,1,6646,FALSE,P423,,,
Jamyang Zhepa,R8LS12897,32,,6646,2,2,2996,FALSE,P169,,,
Jamyang Zhepa,R8LS12897,32,,2996,3,3,2506,FALSE,P124,,,
Jamyang Zhepa,R8LS12897,32,,2506,4,4,2758,FALSE,P1470,,,
Jamyang Zhepa,R8LS12897,32,,2758,5,5,2784,FALSE,P1495,,,
Jamyang Zhepa,R8LS12897,32,,2784,6,6,9101,FALSE,P6506,,,
Karmapa,R8LS12875,33,,,1,1,2683,TRUE,P1400,,,
Karmapa,R8LS12875,33,,2683,2,2,2776,TRUE,P1487,,,
Karmapa,R8LS12875,33,,2776,3,3,9201,TRUE,P66,,,
Karmapa,R8LS12875,33,,9201,4,4,2742,TRUE,P1456,,,
Karmapa,R8LS12875,33,,2742,5,5,2693,TRUE,P1410,,,
Karmapa,R8LS12875,33,,2693,6,6,1597,TRUE,P1006,,,
Karmapa,R8LS12875,33,,1597,7,7,10909,TRUE,P821,,,
Karmapa,R8LS12875,33,,10909,8,8,6230,TRUE,P385,,,
Karmapa,R8LS12875,33,,6230,9,9,11645,TRUE,P889,,,
Karmapa,R8LS12875,33,,11645,10,10,2662,TRUE,P1382,,,
Karmapa,R8LS12875,33,,2662,11,11,12234,TRUE,P943,,,
Karmapa,R8LS12875,33,,12234,12,12,11092,TRUE,P838,,,
Karmapa,R8LS12875,33,,11092,13,13,10984,TRUE,P828,,,
Karmapa,R8LS12875,33,,10984,14,14,8159,TRUE,P562,,,
Karmapa,R8LS12875,33,,8159,15,15,8170,TRUE,P563,,,
Karmapa,R8LS12875,33,,8170,16,16,11385,TRUE,P865,,,
Karmapa,R8LS12875,33,,11385,17,17,2147,TRUE,P10569,,,Also here we have two 17s but in the same lineage
Karmapa,R8LS12875,33,,11385,17,17,8151,TRUE,P5611,,,
Kirti,R8LS13057,34,,,1,1,1852,FALSE,P10299,,,
Kirti,R8LS13057,34,,1852,2,2,11569,FALSE,P8817,,,
Kirti,R8LS13057,34,,11569,3,3,11575,FALSE,P8822,,,
Kirti,R8LS13057,34,,11575,4,4,13168,FALSE,P1PD96458,,,
Kirti,R8LS13057,34,,13168,5,5,3049,FALSE,P1737,,,
Kirti,R8LS13057,34,,3049,6,6,1903,FALSE,P10344,,,
Kirti,R8LS13057,34,,1903,7,7,1901,FALSE,P10342,,,
Kirti,R8LS13057,34,,1901,8,8,4196,FALSE,P249,,,
Kirti,R8LS13057,34,,4196,9,9,1902,FALSE,P10343,,,
Kirti,R8LS13057,34,,1902,10,10,9703,FALSE,P7063,,,
Kirti,R8LS13057,34,,9703,11,11,8659,FALSE,P6080,,,
Kondor,R8LS13065,35,,,1,1,8116,FALSE,P5580,,,
Kondor,R8LS13065,35,,8116,2,2,13102,FALSE,P2AG8,,,
Kondor,R8LS13065,35,,13102,3,3,13103,FALSE,P2AG11,,,
Kondor,R8LS13065,35,,13103,4,4,13104,FALSE,P2AG12,,,
Kondor,R8LS13065,35,,13104,5,5,13105,FALSE,P2AG13,,,
Ling,R8LS12777,36,,,1,1,4488,FALSE,P2757,,,
Ling,R8LS12777,36,,4488,2,2,13155,FALSE,P3AG51,,,
Ling,R8LS12777,36,,13155,3,3,13156,FALSE,P2AG26,,,
Ling,R8LS12777,36,,13156,4,4,11131,FALSE,P8415,,,
Ling,R8LS12777,36,,11131,5,5,4424,FALSE,P27,,,
Ling,R8LS12777,36,,4424,6,6,7007,FALSE,P4559,,,
Ling,R8LS12777,36,,7007,7,7,13778,FALSE,P8LS12436,,,
Lingla,R8LS13219,37,,,1,1,11443,FALSE,P8701,,,
Lingla,R8LS13219,37,,11443,2,2,11426,FALSE,P8687,,,
Lingla,R8LS13219,37,,11426,3,3,7559,FALSE,P8LS13218,,,
Lingla,R8LS13219,37,,7559,4,4,12906,FALSE,P3JM101,,,
Lingtrul,,38,,,1,1,8069,FALSE,P5537,,,
Lingtrul,,38,,8069,2,2,5910,FALSE,P3558,,,
Moktsa,R8LS13163,39,,,1,,9405,FALSE,P679,,,Here we just have two unnumbered incarnations at the beginning of the lineage - should work like the others except that ordinal 1 is assigned to the third incarnation.
Moktsa,R8LS13163,39,,9405,2,,9190,FALSE,P659,,,
Moktsa,R8LS13163,39,,9190,3,1,8549,FALSE,P5980,,,
Moktsa,R8LS13163,39,,8549,4,2,8580,FALSE,P6008,,,
Moktsa,R8LS13163,39,,8580,5,3,8609,FALSE,P6034,,,
Moktsa,R8LS13163,39,,8609,6,4,8610,FALSE,P6035,,,
Moktsa,R8LS13163,39,,8610,7,5,13767,FALSE,P8LS13251,,,
Ngago,R8LS13132,40,,,1,1,13762,FALSE,P8LS13128,,,
Ngago,R8LS13132,40,,13762,2,2,13763,FALSE,P8LS13129,,,
Ngago,R8LS13132,40,,13763,3,3,2409,FALSE,P1152,,Changed 2nd to 3rd based on BDRC data,
Ngago,R8LS13132,40,,2409,4,4,7536,FALSE,P5041,,,
Ngago,R8LS13132,40,,7536,5,5,13766,FALSE,P8LS12333,,,
Ngago,R8LS13132,40,,13766,6,6,11737,FALSE,P8973,,,
Ngago,R8LS13132,40,,11737,7,7,13765,FALSE,P8LS13130,,,
Ngago,R8LS13132,40,,13765,8,8,13764,FALSE,P8LS13131,,,
Nyendrak,R8LS12858,41,,,1,1,6529,FALSE,P4122,,,
Nyendrak,R8LS12858,41,,6529,2,2,7908,FALSE,P5391,,,
Nyendrak,R8LS12858,41,,7908,3,3,13716,FALSE,P8LS12613,,,
Nyendrak,R8LS12858,41,,13716,4,4,7911,FALSE,P5394,,,
Nyendrak,R8LS12858,41,,7911,5,5,7912,FALSE,P5395,,,
Nyingon Choktrul,R8LS13252,42,,,1,1,8616,FALSE,P6040,,,
Nyingon Choktrul,R8LS13252,42,,8616,2,2,8584,FALSE,P6011,,,
Nyingon Choktrul,R8LS13252,42,,8584,3,3,8603,FALSE,P6029,,,
Nyingon Choktrul,R8LS13252,42,,8603,4,4,8617,FALSE,P6041,,,
Nyingon Choktrul,R8LS13252,42,,8617,5,5,8596,FALSE,P6022,,,
Pakpa Lha,R8LS12860,43,,,1,1,6690,FALSE,P427,,,
Pakpa Lha,R8LS12860,43,,6690,2,2,6340,FALSE,P395,,,
Pakpa Lha,R8LS12860,43,,6340,3,3,3778,FALSE,P2108,,,
Pakpa Lha,R8LS12860,43,,3778,4,4,2328,FALSE,P1079,,,
Pakpa Lha,R8LS12860,43,,2328,5,5,2462,FALSE,P120,,,
Pakpa Lha,R8LS12860,43,,2462,6,6,3782,FALSE,P2111,,,
Pakpa Lha,R8LS12860,43,,3782,7,7,3783,FALSE,P2112,,,
Pakpa Lha,R8LS12860,43,,3783,8,8,3784,FALSE,P2113,,,
Pakpa Lha,R8LS12860,43,,3784,9,9,3785,FALSE,P2114,,,
Pakpa Lha,R8LS12860,43,,3785,10,10,3786,FALSE,P2115,,,
Paṇchen Lama,R10MS14279,44,,,1,1,8027,FALSE,P55,,,
Paṇchen Lama,R10MS14279,44,,8027,2,2,6626,FALSE,P4211,,,
Paṇchen Lama,R10MS14279,44,,6626,3,3,13026,FALSE,P997,,,
Paṇchen Lama,R10MS14279,44,,13026,4,4,9839,FALSE,P719,,,
Paṇchen Lama,R10MS14279,44,,9839,5,5,2180,FALSE,P106,,,
Paṇchen Lama,R10MS14279,44,,2180,6,6,2985,FALSE,P168,,,
Paṇchen Lama,R10MS14279,44,,2985,7,7,4589,FALSE,P285,,,
Paṇchen Lama,R10MS14279,44,,4589,8,8,3230,FALSE,P190,,,
Paṇchen Lama,R10MS14279,44,,3230,9,9,3822,FALSE,P215,,,
Paṇchen Lama,R10MS14279,44,,3822,10,10,2953,FALSE,P1650,,,
Paṇchen Lama,R10MS14279,44,,2953,11,11,13568,FALSE,P8LS12000,,,
Pawo,R8LS12784,45,,,1,,3417,FALSE,P1GS124509,,,
Pawo,R8LS12784,45,,3417,2,1,10878,FALSE,P818,,,
Pawo,R8LS12784,45,,10878,3,2,5511,FALSE,P319,,,
Pawo,R8LS12784,45,,5511,4,3,2665,FALSE,P1385,,,
Pawo,R8LS12784,45,,2665,5,4,11096,FALSE,P8383,,,
Pawo,R8LS12784,45,,11096,6,5,12223,FALSE,P942,,,
Pawo,R8LS12784,45,,12223,7,6,10931,FALSE,P823,,,
Pawo,R8LS12784,45,,10931,8,7,11125,FALSE,P841,,,
Pawo,R8LS12784,45,,11125,9,8,2704,FALSE,P1420,,,
Pawo,R8LS12784,45,,2704,10,9,2656,FALSE,P1376,,,
Pawo,R8LS12784,45,,2656,11,10,11418,FALSE,P868,,,
Pawo,R8LS12784,45,,11418,12,11,13243,FALSE,P8LS12447,,,
Peling Tukse,R8LS12890,46,,,1,1,4372,FALSE,P2652,,,
Peling Tukse,R8LS12890,46,,4372,2,2,4376,FALSE,P2656,,,
Peling Tukse,R8LS12890,46,,4376,3,3,4471,FALSE,P2741,,,
Peling Tukse,R8LS12890,46,,4471,4,4,9179,FALSE,P658,,,
Peling Tukse,R8LS12890,46,,9179,5,5,4399,FALSE,P2677,,,
Peling Tukse,R8LS12890,46,,4399,6,6,4408,FALSE,P2685,,,
Peling Tukse,R8LS12890,46,,4408,7,7,4418,FALSE,P2694,,,
Peling Tukse,R8LS12890,46,,4418,8,8,4432,FALSE,P2706,,,
Peling Tukse,R8LS12890,46,,4432,9,9,4482,FALSE,P2751,,,
Peling Tukse,R8LS12890,46,,4482,10,10,13128,FALSE,P2AG33,,,
Petseling,,47,,,1,1,13121,FALSE,P2AG28,,,
Petseling,,47,,13121,2,2,13123,FALSE,P2AG32,,,
Petseling,,47,,13123,3,3,13122,FALSE,P2AG30,,,
Petseling,,47,,13122,4,4,13126,FALSE,P2AG35,,,
Purchok,R8LS12862,48,,,1,1,2329,FALSE,P108,,,
Purchok,R8LS12862,48,,2329,2,2,3414,FALSE,P1GS107885,,,
Purchok,R8LS12862,48,,3414,3,3,3274,FALSE,P194,,,
Purchok,R8LS12862,48,,3274,4,4,149,FALSE,P00EGS109637,,,
Reting Rinpoche,R8LS12816,49,,,1,1,6526,FALSE,P412,,,
Reting Rinpoche,R8LS12816,49,,6526,2,2,5349,FALSE,P304,,,
Reting Rinpoche,R8LS12816,49,,5349,3,3,3241,FALSE,P191,,,
