community_id,community_name,wylie_name,tibetan,chinese,en_variants,bo_x_ewtx_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
90,Jonang Monastery,jo nang ,ཇོ་ནང་།,觉朗寺,Jomonang,jo mo nang; jo nang rgyal ba'i ri khrod,觉囊寺; 觉朗寺; 觉朗通卓钦摩大佛塔,,,,
91,Sangpu Neutok,gsang phu ne'u thog,གསང་ཕུ་ནེའུ་ཐོག།,桑普寺,Sangphu Neutok; sangpu si,,桑普寺,,,,
92,Nyetang Drolma Lhakang,snye thang sgrol ma lha khang,སྙེ་ཐང་སྒྲོལ་མ་ལྷ་ཁང་།,聂塘卓玛拉康,nietang zhuoma lakang,N,,,,,
93,Tsechen,rtse chen,རྩེ་ཆེན།,,Shambu Tsegu; zijin si,thub bstan rab rgyas gling,紫金寺,,,,
95,Tsurpu Monastery,mtshur phu dgon,མཚུར་ཕུ་དགོན།,,Tsurphu; Okmin Tsurpu,mtshur mdo bo lung dgon; 'og min mtshur phu,祖普寺,,,,
96,Drakram ,brag ram,བྲག་རམ།,,Dragram,,,,,,
97,Gharung,g+ha rung,གྷ་རུང་།,,,,,,,,
98,Palung,dpa' lung,དཔའ་ལུང་།,,,,,,,,
101,Pokhang ,spos khang,སྤོས་ཁང་།,,bokang si; bokang cuoba,spos khang tshogs pa,波康寺; 波康措巴,,,,
102,Pelkhor Chode,dpal 'khor chos sde,དཔལ་འཁོར་ཆོས་སྡེ།,,Pelkhor Dechen; Gyaltse Pelkhor Chode; Palkhor Chode; Gyangtse Monastery; baiju si; jiangzi baiju si,dpal 'khor bde chen; dpal chos dgon pa; rgyal rtse dgon pa; shel mkhar rgyal rtse'i chos sde,白居寺; 江孜白居寺,,,,
105,Serdokchen,gser mdog can,གསེར་མདོག་ཅན།,土登赛朵金寺,Zilung; tudeng saiduojin si; seduojian si,gzi lung; pan gser mdog can,土登赛朵金寺; 色多坚寺,,,,
106,Chokhor Tse,chos 'khor rtse,ཆོས་འཁོར་རྩེ།,,,,,,,,
107,Tupten Dargye Ling ,thub bstan dar rgyas gling ,ཐུབ་བསྟན་དར་རྒྱས་གླིང་།,,Thubten Dargye Ling; Tudengdajilin si,,土登达吉林寺; 加桑卡乡土登达吉林寺,,,,
108,Puntsok Samten Ling ,phun tshogs bsam gtan gling,ཕུན་ཚོགས་བསམ་གཏན་གླིང་།,,,,,,,,
109,Changlung Choding ,lcang lung chos sdings,ལྕང་ལུང་ཆོས་སྡིངས།,,,,,,,,
110,Takten Puntsok Ling ,rtag brtan phun tshogs gling,རྟག་བརྟན་ཕུན་ཚོགས་གླིང་།,,Takten Damcho Ling Ngedon Gaway Tshal; Takten Phuntsok Ling; Ganden Phuntsok Ling,rtag brtan dam chos gling nges don dga' ba'i tshal; rtag brtan phun tshogs gling; dga' ldan phun tshogs gling,,,,,
112,Chubzang,chu bzang,ཆུ་བཟང་།,却桑寺,Tolung Chubzang Tupten Dargye Ling,stod lung chu bzang dgon thub bstan dar rgyas gling,,,,,
114,Kyangdur ,rkyang 'dur,རྐྱང་འདུར།,,,,,,,,
115,Chung Riwoche ,cung ri bo che,ཅུང་རི་བོ་ཆེ།,,Pel Riwoche; Ewam Gakyil,gcung ri bo che dgon; e waM dga' 'khyil; dpal ri bo che dgon e waM dga' 'khyil,,,,,
116,Mending,sman sdings,སྨན་སྡིངས།,,,,,,,,
117,Menchu,sman chu,སྨན་ཆུ།,,,,,,,,
119,Cholung Jangtse,chos lung byang rtse,ཆོས་ལུང་བྱང་རྩེ།,,,,,,,,
120,Nenying,gnas rnying,གནས་རྙིང་།,乃宁寺,naining si,gnas snying dgon pa,,,,,
121,Tolung Namgyel,stod lung rnam rgyal,སྟོད་ལུང་རྣམ་རྒྱལ།,,,,,,,,
122,Sabzang Ganden,sa bzang dga' ldan,ས་བཟང་དགའ་ལྡན།,,,,,,,,
124,Pelteng,dpal steng,དཔལ་སྟེང་།,,,gtsang dpal steng dgon pa,,,,,
126,Tselmin,mtshal min,མཚལ་མིན།,,,,,,,,
127,Lhagang,lha sgang ,ལྷ་སྒང་།,,Tagong; Lhagong,dpal lha sgang dgon; mi nyag lha sgang dgon; lha sgang dgon mthong grol bsam grub gling chos sde,塔公寺,,,,
128,Nalendra Monastery,na len dra dgon,ན་ལེན་དྲ་དགོན།,那烂扎寺,nalantuo si; nalanzha si,dpal nA len dra; 'phan po nAlen+dra; 'phan yul nA len+dra,那烂扎寺; 那烂陀寺,,,,
129,Lhatel Rinchen Ling,lha thel rin chen gling,ལྷ་ཐེལ་རིན་ཆེན་གླིང་།,,,,,,,,
130,Yabzang Monastery,g.ya' bzang dgon,གཡའ་བཟང་དགོན།,亚桑寺,Yabzang Gon,dga' ldan bsam gtan gling,亚桑寺,,,,
132,Kodrak Hermitage,ko brag ri khrod,ཀོ་བྲག་རི་ཁྲོད།,,Nyangto Kodrak,myang stod ko brag,,,,,
134,Choding Monastery,chos sdings dgon,ཆོས་སྡིངས་དགོན།,,,,,,,,
135,Rinchen Ling,rin chen gling,རིན་ཆེན་གླིང་།,仁青林寺,Rinchenling; rennqinglin si; rennqinlin si,mal gro gung dkar rin chen gling dgon,仁钦林寺,,,,
136,Jangchen,byang chen,བྱང་ཆེན།,,,theg chen chos 'khor gling; byang chen theg chen chos 'khor gling,,,,,
137,Litang Chokhor Ling,li thang chos 'khor gling ,ལི་ཐང་ཆོས་འཁོར་གླིང་།,,Litang Monastery; Litang Chode; Ganden Tubchen Chokorling; litang si; changqing chunke-er si,li thang chos sde; dga ldan thub chen chos 'khor gling,理塘寺; 长青春科尔寺,,,,
140,Ngari Dratsang,mnga' ris grwa tshang ,མངའ་རིས་གྲྭ་ཚང་།,,ali zhacang si,on mda' mnga' ris grwa tshang,阿里扎仓寺,,,,
141,Kharchu Monastery,mkhar chu dgon,མཁར་ཆུ་དགོན།,,Ganden Dudjom Ling; ,dga' ldan bdud 'joms gling,,,,,
143,Tangkya Lhakhang ,thang skya lha khang,ཐང་སྐྱ་ལྷ་ཁང་།,,,,,,,,
145,Druk Monastery,brug dgon,འབྲུག་དགོན།,,Derge Druk Gonpa; Okmin Jampa Chokhor Ling,,,,,,
146,Uri Monastery,dbu ri dgon,དབུ་རི་དགོན།,,,,,,,,
149,Gotsang Hermitage ,rgod tshang chos sde,རྒོད་ཚང་ཆོས་སྡེ།,,,,,,,,
150,Powo Samling,spo bo bsam gling ,སྤོ་བོ་བསམ་གླིང་།,,,,,,,,
151,Parpu Monastery,spar phu dgon pa,སྤར་ཕུ་དགོན་པ།,巴普寺,Parphu Monastery; bapu si,par phu dgon,巴普寺,,,,
154,Kharak,kha rag,ཁ་རག།,,,,,,,,
156,Gonlung Jampa Ling,dgon lung ,དགོན་ལུང་།,佑宁寺,Gonlung; Gonlung Jampaling; youning si,dgon lung byams pa gling,,,,,
157,Shar Yelpuk ,shar yel phug,ཤར་ཡེལ་ཕུག།,,Shar Yelphug Gonpa,,,,,,
158,Jang Tana ,byang rta rna dgon,བྱང་རྟ་རྣ་དགོན།,,Sengge Namdzong; Tana Sengge Namdzong; Ling Monastery; dana si,rta rna seng+ge'i gnam rdzong,达那,,,,
159,Dodzong,rdo rdzong,རྡོ་རྫོང་།,,Dordzong,,,,,,
160,Sho Monastery,sho dgon,ཤོ་དགོན།,,,shog dgon,,,,,
172,Swayambhunath,phags pa shing kun,འཕགས་པ་ཤིང་ཀུན།,,Svayambhunath; Swoyambhunath; Monkey Temple,rang byung mchod rten chen po; 'phags shing mchod rten,,,,,
173,Boudhanath,bya rung kha shor,བྱ་རུང་ཁ་ཤོར།,,Boudanath; Bouda Nath; Jarung Kashor; Tongdrol Chorten Chenmo,bya rung kha shor mchod rten; mthong grol mchod rten chen mo,,,,,
174,Zurmang Dutsitil,zur mang bdud rtsi mthil,ཟུར་མང་བདུད་རྩི་མཐིལ།,,Surmang; Zurmang Dutsithil; Surmang Dütsi Thil; Zurmang Dustetil,smar khams bdud rtsi mthil,苏莽德子堤寺,,,,
178,Tarlam,thar lam,ཐར་ལམ།,唐隆寺,Tharlam; Tarlam Sabzang Namgyaling; tanglong si,,唐隆寺; 汤陇寺,,,,
179,Dezhung Monastery,sde gzhung dgon,སྡེ་གཞུང་དགོན།,,,sde gzhung grwa tshang bshad sgrub dar rgyas gling,,,,,
180,Dzongsar,rdzong sar,རྫོང་སར།,,Dzongsar Tashi Lhatse; Derge Dzongsar Gon Shedrub Dargye Ling; zongsa si; dege zongsa si,rdzong gsar; sde dge rdzong sar dgon bshad sgrub dar rgyas gling,宗萨寺; 德格宗萨寺,,,,
181,Longtang Drolma Lhakhang,klong thang sgrol ma lha khang,ཀློང་ཐང་སྒྲོལ་མ་ལྷ་ཁང་།,,Langtang Dolma; Dolma Lhakhang,,,,,,
183,Rong Ngurmik,rong ngur smig,རོང་ངུར་སྨིག།,,Ngurmik Drolma Lhakhang,,,,,,
185,Wensa Monastery,dben sa dgon,དབེན་ས་དགོན།,温萨寺,Ensa; Wen; Uding; Lower Wesna; Wensa Monastery,,,,,,
186,Chokhor Uding,chos 'khor dbus sdings,ཆོས་འཁོར་དབུས་སྡིངས།,,,,,,,,
187,Lharitse,lha ri rtse,ལྷ་རི་རྩེ།,,,,,,,,
188,Garmo Chodzong,mgar mo chos rdzong,མགར་མོ་ཆོས་རྫོང་།,,,,,,,,
189,Lekdrub Dratsang,legs grub grwa tshang ,ལེགས་གྲུབ་གྲྭ་ཚང་།,,,,,,,,
190,Gyume Dratsang,rgyud smad grwa tshang ,རྒྱུད་སྨད་གྲྭ་ཚང་།,,Gyume College; Gyurme; Pelden Gyume Dratsang; Lower Tantric College; xia miyuan,,下密院,,,,
191,Riwo Gepel,ri bo dge 'phel,རི་བོ་དགེ་འཕེལ།,,,,,,,,
192,Gangchen Chopel,gangs can chos 'phel,གངས་ཅན་ཆོས་འཕེལ།,,Kangchen Chopel,,,,,,
193,Samdrub Ling,bsam 'grub gling,བསམ་འགྲུབ་གླིང་།,,,bsam grub ling,,,,,
195,Tangpoche,thang po che,ཐང་པོ་ཆེ།,,Thangpoche; Solnak Thang; Solnak Tangpoche; tangboqi si,sol nag thang po che,唐波齐寺,,,,
197,Zhangzhung Dorjeden,zhang zhung rdo rje gdan,ཞང་ཞུང་རྡོ་རྗེ་གདན།,雄雄寺,Zhang Zhang Dorjeden; Zhangzhong Gon; xiongxiong si; xiangxiong jingangzuo,,雄雄寺; 香雄金刚座,,,,
198,Chekar Chode,chad dkar chos sde,འཆད་དཀར་ཆོས་སྡེ།,,Chagar Monastery;,chad dkar chos sde; 'chad dkar bkra shis rab brtan dgon; rong cha dkar chos sde; 'chad dkar chos sde,恰嘎曲德寺,,,,
199,Langtang,glang thang,གླང་ཐང་།,朗塘寺,langtang si,,,,,,
204,Darnga Hermitage,dar rnga ri khrod,དར་རྔ་རི་ཁྲོད།,,,,,,,,
205,Rashuk,ra shug,ར་ཤུག།,,,ra shug ri khrod,,,,,
206,Dzamtang,dzam thang ,ཛམ་ཐང་།,中壤塘,Dzamtang chode chenpo; Great Dzamtang Lamasery,,,,,,
207,Lhundrubteng,lhun 'grub steng,ལྷུན་འགྲུབ་སྟེང་།,,Derge Gonchen; Lhundrupteng,dgon chen; lhun grub steng,,,,,
208,Tsechu Monastery,tshes bcu,ཚེས་བཅུ།,,zebuji si,dpal 'dzam thang tshe bcu pho brang bsam 'grub nor bu'i gling,泽布基寺,,,,
209,Choje Monastery,chos rje ,ཆོས་རྗེ་།,求吉寺,Pelden Shedrub Norbu Chopel Ling; Ali Choje; qiuji si,chos rje dgon dpal ldan bshad sgrub nor bu chos 'phel gling; a li chos rje dgon  ,求吉寺,,,,
210,Tsangwa Monastery,gtsang ba,གཙང་བ།,,Dzamthang Tsangwa,gtsang pa; shar 'dzam thang bsam 'grub nor bu'i gling; 'dzam thang gtsang ba dgon bsam 'grub nor bu'i gling,藏哇寺; 中壤塘寺,,,,
212,Old Ditsa,d+hi tsha,དྷི་ཚ།,老支扎寺,,d+hi tsha dgon rnying,,,,,
214,Ba Monastery,ba' dgon,འབའ་དགོན།,巴干寺,naincuo bagan si,,,,,,
215,Karma Gon,karma dgon,ཀརྨ་དགོན།,嘎玛寺,Okmin Karma Gon; Karma Densa; gama si,og min karma dgon; lho karma dgon; 'og min karma dgon; chab mdo karma dgon; 'og min thub bstan chos 'khor gling,嘎玛寺,,,,
216,Gyel Lhakhang,rgyal lha khang,རྒྱལ་ལྷ་ཁང་།,杰拉康,Gyal Lhakang; jiedui si; jie lakang,,杰堆寺; 杰拉康,,,,
217,Dakpo Draka,dwags po drag kha,དྭགས་པོ་དྲག་ཁ།,,,,,,,,
218,Riwoche Monastery,ri bo che dgon,རི་བོ་ཆེ་དགོན།,类乌齐寺,,ri wo che gtsug lha khang khra 'jigs ma; khams ri bo che,,,,,
219,Riwoche Yanggon,ri bo che yang dgon,རི་བོ་ཆེ་ཡང་དགོན།,,Yangon,,,,,,
224,Poto,po to,པོ་ཏོ།,,boduo si,,波多寺,,,,
225,Rechung Puk,ras chung phug,རས་ཆུང་ཕུག།,热琼洞,Rachung Phuk; reqiong dong,,,,,,
226,Puchung,phu chung,ཕུ་ཆུང་།,,,,,,,,
227,Gyachak Ri,rgya lcags ri,རྒྱ་ལྕགས་རི།,,Penyul Gyachak Ri,,,,,,
228,Sewalung,se ba lung ,སེ་བ་ལུང་།,色瓦龙寺,sewalong si,se ra lung dgon,,,,,
229,Zur Ukpalung,zur 'ug pa lung,ཟུར་འུག་པ་ལུང་།,,Zur Sangkaling; Ugpalung; Ukpa Lung; Upelung; Upalung,,,,,,
231,Dechen Teng,bde chen steng,བདེ་ཆེན་སྟེང་།,,Dechenteng,,,,,,
232,Hemis,he mi dgon,ཧེ་མི་དགོན།,,Hemis Jangchub Choling,he mi byang chub chos gling; he mi grwa tshang,,,,,
233,Hanle,waM le,ཝཾ་ལེ།,,,,,,,,
234,Chemrey,lce bde theg mchog dgon,ལྕེ་བདེ་ཐེག་མཆོག་དགོན།,,Chemre; Chemdey; Chemdey,,,,,,
235,Chukyer Gonsar,chu mkhyer dgon gsar,ཆུ་མཁྱེར་དགོན་གསར།,,Chukyer,,,,,,
236,Tsunmo Tsel,btsun mo tshal,བཙུན་མོ་ཚལ།,,Tsunmotsal; zunmucai si,,尊木采寺,,,,
237,Chamdo Jampa Ling ,chab mdo byams pa gling ,ཆབ་མདོ་བྱམས་པ་གླིང་།,强巴林寺,Chamdo Monastery; Chamdo Jampaling; Jampaling; Kelden Jampa Ling; Chokhor Kelden Jampa Ling,,,,,,
241,Patsang Gon Yungdrung Rabten Ling,spa tshang dgon g.yung drung rab brtan gling ,སྤ་ཚང་དགོན་གཡུང་དྲུང་རབ་བརྟན་གླིང་།,,bacang si,,巴仓寺,,,,
242,Lupuk Gonpa ,klu phug dgon pa,ཀླུ་ཕུག་དགོན་པ།,,luopo si; lupu si; luba si,g.yung drung bde chen gling; gshen bstan g.yung drung bde chen gling,罗坡寺; 鲁普寺; 鲁巴寺,,,,
243,Lungkar,lung dkar dgon,ལུང་དཀར་དགོན།,,longge si,dga' ldan chos 'phel gling; lung dkar dgon bsam grub bde ldan gling,龙格寺; 隆格寺,,,,
244,Menri,sman ri,སྨན་རི།,,Menri Gon; meiri si,thob rgyal sman ri dgon; bkra shis sman ri,梅日寺; 门日寺,,,,
245,Yeru Wensakha,g.yas ru dben sa kha,གཡས་རུ་དབེན་ས་ཁ།,,Yeru Ensakha,,叶如恩萨喀寺,,,,
246,Joden Gendungang ,jo gdan dge 'dun sgang,ཇོ་གདན་དགེ་འདུན་སྒང་།,觉丹寺,Joden; juedan si,,,,,,
247,Pelme Tekchen Evam Gatsel Ling ,dpal me theg chen e vaM dga' tshal gling,དཔལ་མེ་ཐེག་ཆེན་ཨེ་བ༹ཾ་དགའ་ཚལ་གླིང་།,,bami si,dpal me dgon; theg chen e waM dga' tshal gling,巴米寺,,,,
248,Nangchen Gar,nang chen gar,ནང་ཆེན་གར།,,gari si,mgar dgon; nyang chen byang chub chos gling; mgar nyang chen byang chub chos gling,嘎日寺,,,,
249,Lingga Dewachen ,gling dga' bde ba can,གླིང་དགའ་བདེ་བ་ཅན།,,,mus gling dga' bde ba can,,,,,
250,Musu Yama Monastery,mus su ya ma dgon,མུས་སུ་ཡ་མ་དགོན།,,,,,,,,
251,Dingma Monastery,lding ma dgon,ལྡིང་མ་དགོན།,,,,,,,,
253,Pelri Tekchen Ling ,dpal ri theg chen gling,དཔལ་རི་ཐེག་ཆེན་གླིང་།,白日寺,Chonggye Pelri Tekchok Ling; Pelri Osel Tekchen Ling; Pelri Monastery,dpal ri 'od gsal theg chen gling; dpal ri dgon,,,,,
254,Tseringjong,tshe ring ljongs,ཚེ་རིང་ལྗོངས།,,Tsering jong; cirenjiong si; dongga nigu si,pad+ma 'od gsal theg mchog gling,次仁炯寺; 东嘎尼姑庙,,,,
255,Driru Gon,bri ru dgon,འབྲི་རུ་དགོན།,,Namgyel Pelbar; biru si;,rnam rgyal dpal 'bar gling; rnam rgyal dpal 'bar ,比如寺,,,,
256,Den Chokhor,ldan chos 'khor,ལྡན་ཆོས་འཁོར།,,,,,,,,
259,Sinmo Dzong ,srin mo rdzong,སྲིན་མོ་རྫོང་།,,Kham Sinmo Dzong,khams srin mo rdzong,,,,,
263,Khyungpak Tsang,khyung 'phags tshangs,ཁྱུང་འཕགས་ཚངས།,,,,,,,,
265,Zhertsa Chode ,zher rtsa chos sde,ཞེར་རྩ་ཆོས་སྡེ།,,,,,,,,
266,Dargye Monastery,dar rgyas dgon,དར་རྒྱས་དགོན།,,Kandze Dargye; Tashi Dargye; Tewo Tashi Dargye,dkar mdzes dar rgyas dgon; bkra shis dar rgyas dgon; tre bo bkra shis dar rgyas dgon,,,,,
267,Potima ,po ti ma,པོ་ཏི་མ།,,,,,,,,
269,Tanak Serling,rta nag gser gling,རྟ་ནག་གསེར་གླིང་།,,Serling Gonpa,gser gling dgon pa,,,,,
270,Tanak Tubten Namgyel ,rta nag thub bstan rnam rgyal,རྟ་ནག་ཐུབ་བསྟན་རྣམ་རྒྱལ།,达那土旦寺,Thubten Namgyal; Tubtan; Tupten Namgyel,,达那土旦寺; 吐丹朗杰寺,,,,
271,Japuk Dongak Dargye Ling,bya phug mdo sngags dar rgyas gling,བྱ་ཕུག་མདོ་སྔགས་དར་རྒྱས་གླིང་།,,Dongak Dargye Ling; Do-ngak Dargye Ling; Japuk Dongak Dargyeling,bu phug mdo sngags dar rgyas gling,,,,,
272,Sakya Drakshar,sa skya brag shar,ས་སྐྱ་བྲག་ཤར།,,,,,,,,
273,Shey,shel dkar pho brang ,ཤེལ་དཀར་ཕོ་བྲང་།,,,la dwags shel mkhar pho brang; la dwags shel thub chen dgon,,,,,
274,Azha Yarpung,a zha yar spungs dgon,འ་ཞ་ཡར་སྤུངས་དགོན།,雅黄寺,,,,,,,
275,Dreyul Kyetsel ,bras yul skyed tshal,འབྲས་ཡུལ་སྐྱེད་ཚལ།,,Dreyul Kyemotsel,,,,,,
276,Nyenyo Jagoshong ,mnyan yod bya rgod gshongs,མཉན་ཡོད་བྱ་རྒོད་གཤོངས།,,Nyanyo Chagoshong; nianyu si,bya rgod gshongs dgon pa,年玉寺,,,,
277,Chokhor Lhunpo ,chos 'khor lhun po,ཆོས་འཁོར་ལྷུན་པོ།,,,,,,,,
278,Tashi Pende,bkra shis phan bde,བཀྲ་ཤིས་ཕན་བདེ།,,,,,,,,
279,Demola Monastery,bde mo la dgon,བདེ་མོ་ལ་དགོན།,,,,,,,,
280,Chakra,lcags ra,ལྕགས་ར།,,Derge Chakra Gon; Chakra Monastery; Changra,sde dge lcags ra dgon; lcangs ra,,,,,
282,Pewar,dpe war,དཔེ་ཝར།,,baiya si,dpe war dgon; sde dge dpe war dgon,白雅寺; 白垭寺,,,,
285,Tashi Cholung,bkra shis chos lung ,བཀྲ་ཤིས་ཆོས་ལུང་།,,Nyangpo Tashi Cholung,nyang po bkra shis chos lung,,,,,
286,Lho Chotritang ,lho chos khri thang,ལྷོ་ཆོས་ཁྲི་ཐང་།,,,,,,,,
287,Tseten,tshe tan dgon,ཚེ་ཏན་དགོན།,,Tseten Gon Ganden Shedrubling,tshe tan dgon dga' ldan bshad sgrub gling; she tan dgon,才旦寺,,,,
288,Tak Monastery,stag dgon,སྟག་དགོན།,大加沿寺,,,,,,,
289,Tuwa ,mthu ba,མཐུ་བ།,,tuwacang si,mthu ba dgon bkra shis chos sde; dan tig mthu ba dgon,土哇寺,,,,
290,Dentik ,dan tig,དན་ཏིག།,,Dentik Shelgyi Yang Gon,dan tig shel gyi yang dgon,,,,,
291,Neuzur,sne'u zur,སྣེའུ་ཟུར།,乃苏寺,nezur; naisu si,,,,,,
