community_id,tbrc_id,community_name,wylie_name,wylie_name_script,chinese_name,description,wikidata_id
33,G1KR1565,Dar Drangmoche,dar grong mo che,དར་གྲོང་མོ་ཆེ།,,"<p>
	Dar Drangmoche Monastery, in Lhartse, Tsang, was founded in the mid-sixteenth century by <a href=""/biographies/view/Tsarchen-Losel-Gyatso/TBRC_P786"">Tsarchen Losel Gyatso</a>, the founder of the Tsarpa branch of the Sakya tradition.</p>",Q108036204
35,G275,Zhalu,zhwa lu,ཞྭ་ལུ།,,"<p>
	Zhalu Monastery in Tsang is one of the oldest monasteries in Tibet. The Serkhang Tramo temple was built originally in 1027 by <a href=""/biographies/view/Chetsun-Sherab-Jungne/TBRC_p1AG32"">Chetsun Sherab Jungne</a> of the <a href=""/communities/view/Che/TBRC_C11MS198"">Che</a> clan, and located close to the Gyengong Lhakhang, built in 997 by <a href=""/biographies/view/Loton-Dorje-Wangchuk/TBRC_P1524"">Loton Dorje Wangchuk</a>. <a href=""/biographies/view/Buton-Rinchen-Drub/TBRC_P155"">Buton Rinchen Drub</a>&nbsp;established the <a href=""/geographies/view/Ripuk/TBRC_G4676"">Ripuk</a> hermitage in caves above the monastery and retired there. Zhalu is loosely associated with the Sakya school, maintaining its own tradition based on the Sakya and Kadam teachings of Buton.</p>
<p>
	&nbsp;</p>",Q25681
36,G337,Ganden,dga' ldan,དགའ་ལྡན།,甘丹寺,"<p>
	Ganden Monastery was founded in 1409 by <a href=""/biographies/view/Tsongkhapa-Lobzang-Drakpa/TBRC_p64"">Tsongkhapa Lobzang Drakpa</a> outside of Lhasa. Its abbot, the Ganden Tripa, is the nominal head of the Geluk tradition. Along with <a href=""/geographies/view/Sera/TBRC_g154"">Sera</a> and <a href=""/geographies/view/Drepung/TBRC_g108"">Drepung</a>, it is one of the three Geluk monastic universities of central Tibet. Its two main colleges, <a href=""/geographies/view/Jangtse/TBRC_G77"">Jangtse</a> and <a href=""/geographies/view/Shartse/TBRC_G304"">Shartse</a>, were founded by two of Tsongkhapa&#39;s disciples, <a href=""/biographies/view/Namkha-Pelzangpo/TBRC_P3495"">Namkha Pelzangpo</a> and Neten Rongyelwa. The tantric college of Gyudra was established by another student, <a href=""/biographies/view/Sherab-Sengge/TBRC_P2093"">Sherab Sengge</a>.</p>",Q108038678
37,G154,Sera Monastery,se ra,སེ་ར།,,"<p>
	Sera Tekchen Ling is one of the three main Geluk monasteries in Lhasa. It was founded in 1419 by <a href=""/biographies/view/Jamchen-Choje-Shakya-Yeshe/TBRC_p3450"">Jamchen Choje Shakya Yeshe</a>, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>. Three monastic colleges survive: <a href=""/geographies/view/Sera-Me/TBRC_G237"">Sera Me</a>, <a href=""/geographies/view/Sera-Je/TBRC_G155"">Sera Je</a>, and the <a href=""/geographies/view/Ngakpa-Dratsang/TBRC_G248"">Ngakpa Dratsang</a>. Above the monastery are a number of important hermitages established by Tsongkhapa and other Geluk masters. These include <a href=""/geographies/view/Sera-Utse/TBRC_TOL322"">Sera Utse</a>, <a href=""/geographies/view/Pabongkha/TBRC_G395"">Pabongkha</a>, and <a href=""/geographies/view/Purbuchok/TBRC_G156"">Purbuchok</a>.</p>",Q124848
38,G108,Drepung Monastery,'bras spungs,འབྲས་སྤུངས།,,"<p>
	Drepung is one of the three major Geluk monasteries of Lhasa. It was founded in 1416 by <a href=""/biographies/view/Jamchen-Choje-Tashi-Pelden/TBRC_P35"">Jamyang Choje Tashi Pelden</a>, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>.&nbsp; It contains the Ganden Podrang residence which served as the seat of the <a href=""/incarnation/view/Dalai-Lama/TBRC_R8LS12876"">Dalai Lama</a>s until the seventeenth century. The entire monastery was initially administered from the office of the Drepung Throne holder; since the time of the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P37"">Fifth Dalai Lama</a> the custom has been that the senior abbot of the two principle colleges, <a href=""/geographies/view/Gomang/TBRC_G109"">Gomang</a> or <a href=""/geographies/view/Loseling/TBRC_G126"">Loseling</a>, has served as head of Drepung. Of the seven colleges that were once part of the monastery, only four survive, the two others being the <a href=""/geographies/view/Ngakpa-Dratsang/TBRC_G2CN11048"">Ngakpa Dratsang</a> and <a href=""/geographies/view/Deyang/TBRC_G153"">Deyang</a>.</p>",Q241937
39,G104,Tashilhunpo,bkra shis lhun po,བཀྲ་ཤིས་ལྷུན་པོ།,扎什伦布寺,"<p>
	Tashilhunpo, one of Tibet&#39;s most important monasteries, is a Geluk monastery in Shigatse that was founded in 1447 by the <a href=""/biographies/view/First-Dalai-Lama-Gendun-Drub/TBRC_P80"">First Dalai Lama Gendun Drub</a>, whose remains are interred at the site. The location of the monastery is west of the great fortress and above a pre-existing sky-burial site.The monastery serves as the seat of the&nbsp;<a href=""/incarnation/view/Paṇchen-Lama/TBRC_R10MS14279"">Paṇchen Lama</a>&nbsp;incarnation line. The remains of the <a href=""/biographies/view/Second/TBRC_P4211"">Second</a>, <a href=""/biographies/view/Third/TBRC_P997"">Third</a>, and&nbsp;<a href=""/biographies/view/Fourth-Paṇchen-Lama/TBRC_P719"">Fourth Pachen Lama</a>, who was tutor to the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P67"">Fifth Dalai Lama</a>, are also preserved in a stupa at Tashilhunpo. Reliquaries for the Fifth through Ninth Panchen Lamas were destroyed in the 1960s. The <a href=""/biographies/view/Tenth-Panchen-Lama/TBRC_P1650"">Tenth Panchen Lama</a> was responsible for the construction of a new mausoleum, Dungten Tashi Namgyel, where the remains of his previous incarnations were re-interred. The Jamkhang Chenmo, which was added during the tenure of the <a href=""/biographies/view/Ninth-Paṇchen-Lama/TBRC_P215"">Ninth Paṇchen Lama</a>, contains the world&#39;s largest gilded copper image that stands 26 meters tall. At its height, Tashilunpo housed close to 5,000 monks.&nbsp;</p>",Q877445
40,G160,Kumbum Jampa Ling,sku 'bum byams pa gling,སྐུ་འབུམ་བྱམས་པ་གླིང་།,塔尔寺,"<p>
	Kumbum Jampa Ling is a major Geluk monastery in Amdo built on the site of <a href=""/biographies/view/Tsongkhapa/TBRC_p64"">Tsongkhapa</a>&#39;s birth. The monastery was built around the tree that marked this site. Construction began in 1560 by a monk named Rinchen Tsondru Gyeltsen around a stupa that Tsongkhapa&#39;s mother is said to have built in 1379. In 1583 the <a href=""/biographies/view/Third-Dalai-Lama,-Sonam-Gyatso/TBRC_P999"">Third Dalai Lama, Sonam Gyatso</a>, stayed there and requested the monk to expand it. Over the subsequent centuries, the monastic complex developed and expanded into one of Tibet&#39;s great monasteries. The <a href=""/incarnation/view/Cheso/TBRC_R8LS13109"">Cheso</a>, <a href=""/incarnation/view/Ngago/TBRC_R8LS13132"">Ngago</a> and Taktser incarnation lines all have seats there. Kumbum has four colleges: the <a href=""/geographies/view/Tantric-College/TBRC_G1951"">Tantric College</a>, which was built by <a href=""/biographies/view/Choje-Lekpa-Gyatso/TBRC_P4391"">Choje Lekpa Gyatso</a> in 1649; the Debate College, built in 1612 by <a href=""/biographies/view/Duldzin-Ozer-Gyatso/TBRC_P8LS12076"">Duldzin Ozer Gyatso</a>; the <a href=""/geographies/view/Medical-College/TBRC_G1945"">Medical College</a>, which opened in 1725; and the <a href=""/geographies/view/Kālacakra-College/TBRC_G1710"">Kālacakra College</a>, established in 1820. &nbsp;The monastery has been sacked and rebuilt several times in its history.&nbsp;</p>
<p>
	&nbsp;</p>",Q1791988
41,G162,Labrang Tashikhyil,bla brang bkra shis 'khyil,བླ་བྲང་བཀྲ་ཤིས་འཁྱིལ།,,"<p>
	Labrang Tashikhyil is a major Geluk monastery in Amdo. It was founded in 1709 by the <a href=""/biographies/view/First-Jamyang-Zhepa,-Jamyang-Zhepai-Dorje/TBRC_P423"">First Jamyang Zhepa, Jamyang Zhepai Dorje</a> under the sponsorship of a prince of the Qoshot Mongols, who donated the land and paid for the construction. Many incarnation lines have their seats at Labrang Monastery including the <a href=""/incarnation/view/Jamyang-Zhepa/TBRC_R8LS12897"">Jamyang Zhepa</a>, <a href=""/incarnation/view/Amdo-Zhamar/TBRC_R8LS13071"">Amdo Zhamar</a> and <a href=""/incarnation/view/Gungtang/TBRC_R8LS13063"">Gungtang</a> incarnation lines. Labrang has six colleges, the largest of which is the debate college, Mejung Tosam Ling, which was established by the First Jamyang Zhepa when he built the monastery. The <a href=""/geographies/view/Tantric-College/TBRC_G1967"">Tantric College</a> has two branches, the Lower, established by Jamyang Zhepa in 1719, and the Upper, established in 1943 by the <a href=""/biographies/view/Fifth-Jamyang-Zhepa/TBRC_P1495"">Fifth Jamyang Zhepa</a>. The <a href=""/biographies/view/Second-Jamyang-Zhepa/TBRC_P169"">Second Jamyang Zhepa</a> built the <a href=""/geographies/view/Kālacakra-College/TBRC_G8LS12072"">Kālacakra College</a> in 1763 and the <a href=""/geographies/view/Medical-College/TBRC_G1716"">Medical College</a> in 1784. The <a href=""/biographies/view/Fourth-Jamyang-Zhepa/TBRC_P1470"">Fourth Jamyang Zhepa</a> established the <a href=""/geographies/view/Hevajra-College/TBRC_G3212"">Hevajra College</a> in 1879.</p>",Q1799533
43,G188,Adzom Gar,a 'dzom sgar,ཨ་འཛོམ་སྒར།,,"<p>
	Adzom Gar is a Nyingma monastery in the Tromtar region of Kham that was founded by the <a href=""/biographies/view/First-Adzom-Drukpa,-Drondul-Pawo-Dorje/TBRC_P6002"">First Adzom Drukpa, Drondul Pawo Dorje</a> in 1842. A branch of <a href=""/geographies/view/Katok-Monastery/TBRC_g17"">Katok Monastery</a>, it is the seat of the <a href=""/incarnation/view/Adzom-Drukpa/TBRC_R11MS152"">Adzom Drukpa</a> incarnation line.</p>",Q21017484
44,G3636,Nyoshul Jonpalung Monastery,smyo shul ljon pa lung dgon,སྨྱོ་ཤུལ་ལྗོན་པ་ལུང་དགོན།,,"<p>
	Nyoshul Jonpalung is a Nyingma monastery in Kham in the Dzin Valley of Tromtar, in present-day Pelyul county in Sichuan province. It was founded by <a href=""/biographies/view/Khenpo-Ngaga/TBRC_P724"">Khenpo Ngaga</a> in 1910. It is considered a branch of <a href=""/geographies/view/Katok/TBRC_g17"">Katok</a>.</p>",
45,G2043,Zha Lhakhang,zhwa'i lha khang,ཞྭའི་ལྷ་ཁང་།,,"<p>
	The Zha Lhakhang, a small temple north of Lhasa, was constructed by <a href=""/biographies/view/Nyang-Tingdzin-Zangpo/TBRC_P3827"">Nyang Tingdzin Zangpo</a> around the late eighth century or early ninth century on land given to him by <a href=""/biographies/view/Tride-Songtsen/TBRC_P8LS13667"">Tride Songtsen</a>. According to legend, <a href=""/biographies/view/Vimalamitra-/TBRC_P5011"">Vimalamitra </a>concealed Dzogchen teachings there which were then discovered by <a href=""/biographies/view/Dangma-Lungyal-/TBRC_P0RK1221"">Dangma Lungyal</a>&nbsp;in the eleventh century. Zha Lhakang was converted from Nyingma to Drigung Kagyu, and later to Geluk. It is currently affiliated with <a href=""/geographies/view/Sera-Je/TBRC_G155"">Sera Je</a>.</p>
<p>
	&nbsp;</p>",
48,G375,Dodrubchen Monastery,rdo grub chen,རྡོ་གྲུབ་ཆེན།,,"<p>
	Dodrubchen is a Nyingma monastery in Golok. Properly known as Tsangchen Ngodrub Pelbar Ling, it was founded by the First Dodrubchen <a href=""/biographies/view/Jigme-Trinle-Ozer/TBRC_P293"">Jigme Trinle Ozer</a> in 1810 in Serta. In 1880, the Second Dodrubchen <a href=""/biographies/view/Jigme-Phuntsok-Jungne/TBRC_P2561"">Jigme Phuntsok Jungne</a> relocated the monastery to its present location. Previously, a tent camp monastery had been founded there in 1527 and subsequently destroyed by fire.</p>
<p>
	&nbsp;</p>",
52,G3518,Dratang,grwa thang,གྲྭ་ཐང།,,"<p>
	Dratang Monastery was established as a Kadam institution in 1081 in the Dranang valley in U by <a href=""/biographies/view/Drapa-Ngonshe/TBRC_P4655"">Drapa Ngonshe</a>. The monastery, which was later absorbed by the Sakya tradition in the fourteenth of fifteenth century, was damaged by the Dzungar armies in the eighteenth century. It was rennovated in the 1920s and 1930s with sponsorship of the <a href=""/biographies/view/Fifth-Reting-Rinpoche/TBRC_P212"">Fifth Reting Rinpoche</a>.</p>
<p>
	&nbsp;</p>",
59,G1AG98,Neten Monastery,gnas brtan dgon,གནས་བརྟན་དགོན།,laiding gong,"<p>
	Neten Monastery, a Nyingma monastery in Nangchen, was founded in 1858 by <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a>. It is the seat of the <a href=""/incarnation/view/Neten-Chokling/TBRC_R8LS18184"">Neten Chokling</a> incarnation line.</p>",
60,G3JT12623,Tsike,rtsi ke,རྩི་ཀེ།,,"<p>
	Tsike, a Nyingma monastery in Chamdo, was founded by <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a> in the mid nineteenth century. It is the seat of the <a href=""/incarnation/view/Tsike-Chokling/TBRC_R8LS18185"">Tsike Chokling</a>, also known as the Kela Chokling.</p>
<p>
	&nbsp;</p>",
62,G225,Nartang,snar thang,སྣར་ཐང་།,纳唐寺,"<p>
	Nartang is a Kadampa monastery that was founded in 1153 in Tsang by <a href=""/biographies/view/Tumton-Lodro-Drakpa/TBRC_P3446"">Tumton Lodro Drakpa</a>. It was renowned for its printing press and extensive library of wood-blocks. It was made a branch of <a href=""/geographies/view/Tashilhunpo-Monastery/TBRC_G104"">Tashilhunpo Monastery</a> in the seventeenth century.</p>",Q1483753
63,G197,Daklha Gampo,dwags lha sgam po,དྭགས་ལྷ་སྒམ་པོ།,达拉岗布寺,"<p>
	Daklha Gampo is a Kagyu monastery that was founded in 1121 by Milarepa&#39;s disciple <a href=""/biographies/view/Gampopa-Sonam-Rinchen/TBRC_P1844"">Gampopa Sonam Rinchen</a>, also known as Dakpo Lhaje. An early seat of the Kagyu tradition, administration was first passed through successive generations of Gampopa&#39;s family and then through an incarnation line, beginning in the sixteenth century with Gampopa Tashi Namgyel. The site was previously sanctified by <a href=""/biographies/view/Songsten-Gampo/TBRC_P8067"">Songsten Gampo</a>, as it is considered to be at the head of the mother-ogress, the mythological progenitrix of the Tibetan people. Consequently the location has been an important site of terma revelation.&nbsp;Though sacked by Dzungars in 1718, and again damaged during the cultural revolution, several chapels with original art remain.</p>",
64,G434,Densatil,gdan sa mthil,གདན་ས་མཐིལ།,,"<p>
	Densatil is a Kagyu monastery that was founded in 1158 by <a href=""/biographies/view/Pakmodrupa-Dorje-Gyelpo/TBRC_P127"">Pakmodrupa Dorje Gyelpo</a> to the east of Tsetang. As one of the seats of the Pakmodru Dynasty in the fourteenth century, the monastery acquired great wealth and included multiple spectacularly ornamented reliquary stupas.&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>",
67,G279,Tropu Monastery,khro phu dgon,ཁྲོ་ཕུ་དགོན།,超浦寺,"<p>
	Tropu Jamchen Chode was founded in 1212 by <a href=""/biographies/view/Gyeltsa-Rinchen-Gonpo/TBRC_P1508"">Gyeltsa Rinchen Gonpo</a> in Shab valley in Tsang. Expanded by his nephew <a href=""/biographies/view/Tropu-Lotsāwa-Jampa-Pel/TBRC_P4007"">Tropu Lotsāwa Jampa Pel</a>, it is the seat of the Tropu Kagyu tradition..</p>",
68,G30,Tsel Gungtang,tshal gung thang,ཚལ་གུང་ཐང་།,蔡贡唐寺,"<p>
	Tsel Gungtang, to the south of Lhasa, was founded in the twelfth century by Zhang Yudrakpa Tsundru Drakpa, also known as&nbsp;<a href=""/biographies/view/Lama-Zhang/TBRC_P1857"">Lama Zhang</a>. Lhazang Khan offered Tsel Gungtang to <span class=""biog-name-large"">the Fiftieth Ganden Tripa,&nbsp;<a href=""/biographies/view/Gendun-Puntsok/TBRC_P1849"">Gendun Puntsok</a></span><span class=""biog-date-small"">. Gendun Puntsok, who later became known as Tri Gungtangpa,&nbsp;</span>converted the Tselpa Kagyu monastery to the Geluk tradition.</p>",
70,G1KR1663,Barom Gon,'ba' rom dgon,འབའ་རོམ་དགོན།,,"<p>
	Barom Riwoche Monastery was established in 1160 in Nakchu, Kham, by <a href=""/biographies/view/Barompa-Darma-Wangchuk/TBRC_P1856"">Barompa Darma Wangchuk</a>, one of <a href=""/biographies/view/Gampopa/TBRC_P1844"">Gampopa</a>&#39;s disciples, and founder of the Barom Kagyu tradition.</p>",
73,G504,Napu Monastery,sna phu dgon,སྣ་ཕུ་དགོན།,,"<p>
	Napu Monastery is a Drukpa Kagyu monastery near Dorje Drak. It was founded in the twelfth century by <a href=""/biographies/view/Lingrepa-Pema-Dorje/TBRC_P910"">Lingrepa Pema Dorje</a>, a student of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a> and teacher of <a href=""/biographies/view/Tsangpa-Gyare/TBRC_P909"">Tsangpa Gyare</a>, the founder of the Drukpa Kagyu tradition. It functioned as a nunnery during the time when Jamyang Khyentse Wangpo visited. In the 1960&#39;s its buildings were destroyed, with some reconstruction in the 1990&#39;s.</p>",
75,,Lhachuk,lha phyug,ལྷ་ཕྱུག།,,"<p>
	Lhachuk was a small Tselpa Kagyu monastery in central Tibet. It was founded by <a href=""/biographies/view/Lhachuk-Kharwa-Nyida-O/TBRC_p4139"">Lhachuk Kharwa Nyida O</a> in 1193, and remained an important center until at least the fifteenth century.</p>",
76,,Jupu Monastery,'ju phu dgon,འཇུ་ཕུ་དགོན།,,"<p>
	Jupu, a Tselpa Kagyu monastery, was founded in 1187 by <a href=""/biographies/view/Lhachuk-Kharwa-Nyida-O/TBRC_P4139"">Lhachuk Kharwa Nyida O</a>, one of the four main disciples of <a href=""/biographies/view/Lama-Zhang-Yudrakpa/TBRC_P1857"">Lama Zhang Yudrakpa</a>.</p>
<p>
	&nbsp;</p>",
78,G368,Rokam,ro skam,རོ་སྐམ།,,"<p>
	Rokam was a Tselpa Kagyu monastery that was founded in 1183 by <a href=""/biographies/view/Rokam-Nyima-Sherab/TBRC_P2470"">Rokam Nyima Sherab</a>.</p>",
80,G67,Taklung Monastery,stag lung dgon,སྟག་ལུང་དགོན།,达隆寺,"<p>
	Taklung Monastery, located in Jang north of Lhasa, is the main seat of the Taklung Kagyu tradition. It was founded by&nbsp;<a href=""/biographies/view/Taklungtangpa-Tashi-Pel/TBRC_P2649"">Taklungtangpa Tashi Pel</a> in 1180 on a site where<a href=""/biographies/view/-Lama-Potowa/TBRC_P3442""> Lama Potowa</a> had practiced with disciples in the eleventh century.&nbsp;</p>",Q2388149
82,G340,Drigung Til,'bri gung mthil,འབྲི་གུང་མཐིལ།,,"<p>
	Drigung Til was founded in 1179 by <a href=""/biographies/view/Jikten-Gonpo-Rinchen-Pel/TBRC_P16"">Jikten Gonpo Rinchen Pel</a> in the area where Lama Menyak Gomring had built a hermitage. Drigung Til is the seat of the Drigung Kagyu tradition. It was controlled the by Kyura clan, to which Jikten Gonpo belonged, until the seventeenth century, when leadership transfered to two incarnation lines: the <a href=""/incarnation/view/Drigung-Chetsang/TBRC_R8LS12886"">Drigung Chetsang</a> and the <a href=""/incarnation/view/Drigung-Chungtsang/TBRC_R8LS12892"">Drigung Chungtsang</a>.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>",
85,G521,Shukseb,shug gseb,ཤུག་གསེབ།,,"<p>
	Shukseb was originally founded by <a href=""/biographies/view/Gyergom-Tsultrim-Sengge/TBRC_P00AG02484"">Gyergom Tsultrim Sengge</a> as a Shukseb Kagyu monastery near Lhasa in 1181. It was at some point taken over by the Geluk school but later grew into a signigicant nunnery focused on Nyingma and Kagyu teachings through the efforts of <a href=""/biographies/view/Jetsun-Choying-Zangmo/TBRC_P183"">Jetsun Choying Zangmo</a>, a female adept who settled at Shukseb in the early twentieth century. Shuksheb Nunnery has been re-established in exile near Dharamsala in northern India.</p>",
87,G3582,Ralung Monastery,rwa lung dgon pa,རྭ་ལུང་དགོན་པ།,,"<p>
	Ralung, located in Gyantse in Tsang, was founded in 1180 by <a href=""/biographies/view/Tsangpa-Gyare/TBRC_p909"">Tsangpa Gyare</a>. It was the principal seat of the Middle Drukpa Kagyu tradition in Tibet, and was controlled by the <a href=""/communities/view/Gya/TBRC_TOL86"">Gya</a> clan until the family line died out in the seventeenth century.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>",
